beer,link,score,style
Pablo American IPA,/beer/pablo-american-ipa/510856/,3.23,India Pale Ale (IPA)
Gara Guzu Summer IPA,/beer/gara-guzu-summer-ipa/445972/,3.16,India Pale Ale (IPA)
Gara Guzu Blonde Ale,/beer/gara-guzu-blonde-ale/299142/,3.15,Golden Ale/Blond Ale
Bosphorus Karbon Stout,/beer/bosphorus-karbon-stout/204538/,3.12,Stout
Bosphorus Selanik 81,/beer/bosphorus-selanik-81/269258/,3.11,Doppelbock
Bosphorus Route 333,/beer/bosphorus-route-333/381667/,3.10,American Pale Ale
Bosphorus Winterfell Ale,/beer/bosphorus-winterfell-ale/396465/,3.10,Belgian Ale
Gara Guzu Gara,/beer/gara-guzu-gara/501880/,3.10,Porter
Bosphorus Istanbul Pale Ale,/beer/bosphorus-istanbul-pale-ale/204535/,3.10,India Pale Ale (IPA)
Gara Guzu Amber Ale,/beer/gara-guzu-amber-ale/299139/,3.09,Amber Ale
Gara Guzu Red Ale,/beer/gara-guzu-red-ale/385202/,3.09,Amber Ale
Taps Istanbul Dunkel,/beer/taps-istanbul-dunkel/18487/,3.09,Dunkel/Tmav�
Zıkkımm,/beer/z305kk305mm/412394/,3.04,India Pale Ale (IPA)
Torch German Style Wheat Beer,/beer/torch-german-style-wheat-beer/423917/,3.04,German Hefeweizen
Bosphorus Sun Down,/beer/bosphorus-sun-down/459353/,3.04,Amber Ale
Taps Istanbul Dortmunder,/beer/taps-istanbul-dortmunder/80789/,3.03,Dortmunder/Helles
Atak Gara Guzu Mayhos,/beer/atak-gara-guzu-mayhos/555971/,3.02,Saison
Pera 3 Smoked Beer,/beer/pera-3-smoked-beer/361536/,3.02,Smoked
Taps Istanbul Rauschbier,/beer/taps-istanbul-rauschbier/80791/,3.01,Smoked
Torch Tonka Bean Stout,/beer/torch-tonka-bean-stout/466599/,3.00,Stout
Bosphorus S�mer Ale,/beer/bosphorus-sumer-ale/227859/,3.00,Witbier
Taps Istanbul Brown Ale,/beer/taps-istanbul-brown-ale/39134/,3.00,Brown Ale
Bosphorus Yabangee,/beer/bosphorus-yabangee/204539/,2.99,Bitter
Pera 7 Sakızlı,/beer/pera-7-sak305zl305/361539/,2.98,Spice/Herb/Vegetable
Torch Scottish Ale,/beer/torch-scottish-ale/423915/,2.96,Scottish Ale
Gara Guzu Black Malt Ale,/beer/gara-guzu-black-malt-ale/385507/,2.96,Porter
Torch Pilsner,/beer/torch-pilsner/438072/,2.96,Pilsener
Torch Red Ale,/beer/torch-red-ale/466603/,2.96,Amber Ale
Bomonti Red Ale,/beer/bomonti-red-ale/440088/,2.96,Amber Lager/Vienna
Bosphorus Halic Gold,/beer/bosphorus-halic-gold/204537/,2.95,Belgian Ale
Tuborg Amber,/beer/tuborg-amber/406029/,2.95,Amber Lager/Vienna
Torch Dark Wheat Beer,/beer/torch-dark-wheat-beer/466602/,2.94,Dunkelweizen
Bosphorus Brew 81,/beer/bosphorus-brew-81/204534/,2.92,Premium Lager
PERA 5,/beer/pera-5/361203/,2.92,German Hefeweizen
Pera 6 Tar�ınlı,/beer/pera-6-tarc305nl305/361538/,2.92,Spice/Herb/Vegetable
Bosphorus Road to Helles,/beer/bosphorus-road-to-helles/381668/,2.91,Dortmunder/Helles
ZIKKIMM Weiss,/beer/zikkimm-weiss/556281/,2.89,German Hefeweizen
Torch Pumpkin Ale,/beer/torch-pumpkin-ale/466600/,2.89,Spice/Herb/Vegetable
Torch Smoked Beer,/beer/torch-smoked-beer/466601/,2.89,Smoked
Tuborg Kış Bira,/beer/tuborg-k305351-bira/44762/,2.88,Premium Lager
"Gara Guzu Anniversary Beer ""1. yIL biRASI"" amber Ale",/beer/gara-guzu-anniversary-beer-1-yil-birasi-amber-ale/362552/,2.87,Amber Ale
Efes Brewmaster Series Red Ale,/beer/efes-brewmaster-series-red-ale/432506/,2.87,Irish Ale
Bosphorus Beerinci,/beer/bosphorus-beerinci/204540/,2.87,Bitter
Red Tower Martzen,/beer/red-tower-martzen/99694/,2.86,Dunkel/Tmav�
Efes Brewmaster Series White Ale,/beer/efes-brewmaster-series-white-ale/432494/,2.86,Witbier
Pera 2,/beer/pera-2/300216/,2.85,Amber Ale
Taps Istanbul Strong Ale,/beer/taps-istanbul-strong-ale/65276/,2.85,English Strong Ale
Taps Istanbul Amber Ale,/beer/taps-istanbul-amber-ale/60486/,2.84,Amber Ale
Bosphorus SYKO,/beer/bosphorus-syko/227861/,2.82,Imperial IPA
Taps Istanbul Schwarz,/beer/taps-istanbul-schwarz/72656/,2.81,Schwarzbier
