beer,link,score,style
Guinness Foreign Extra Stout (Uganda),/beer/guinness-foreign-extra-stout-uganda/542044/,3.05,Foreign Stout
Buhoma Sorghum/Banana Beer ,/beer/buhoma-sorghum-banana-beer/273242/,2.99,Traditional Ale
Chairman's ESB (Uganda),/beer/chairmans-esb-uganda/7172/,2.77,Imperial Pils/Strong Pale Lager
Uganda Breweries Senator Stout,/beer/uganda-breweries-senator-stout/550616/,2.72,Foreign Stout
Eagle Extra Lager,/beer/eagle-extra-lager/243561/,2.72,Imperial Pils/Strong Pale Lager
Rock Stout,/beer/rock-stout/150615/,2.68,Sweet Stout
Senator Extra,/beer/senator-extra/273457/,2.61,Pale Lager
Moonberg Premium,/beer/moonberg-premium/152014/,2.60,Pale Lager
Moonberg Lager,/beer/moonberg-lager/150581/,2.20,Pale Lager
Nile Gold Crystal Malt Lager,/beer/nile-gold-crystal-malt-lager/150173/,2.18,Pale Lager
Bell Lager,/beer/bell-lager/15443/,1.94,Pale Lager
Nile Special (Lager),/beer/nile-special-lager/7170/,1.85,Pale Lager
Uganda Breweries Pilsner Lager,/beer/uganda-breweries-pilsner-lager/17541/,1.82,Pale Lager
Club Pilsner (Uganda),/beer/club-pilsner-uganda/7171/,1.61,Pale Lager
Eagle Lager,/beer/eagle-lager/243562/,n/a,Pale Lager
Nguvu,/beer/nguvu/14038/,n/a,Pale Lager
Number One Lager (Uganda),/beer/number-one-lager-uganda/7173/,n/a,Pale Lager
