beer,link,score,style
Collider Affectionate Krampus,/beer/collider-affectionate-krampus/411214/,3.71,Imperial Stout
Pravda 400 Varka,/beer/pravda-400-varka/448169/,3.58,Barley Wine
Collaport WTF2? ,/beer/collaport-wtf2/480550/,3.55,Baltic Porter
Pravda Fresh Hop Vatra,/beer/pravda-fresh-hop-vatra/458034/,3.54,Belgian Ale
Pravda DWIPA,/beer/pravda-dwipa/546301/,3.51,Imperial IPA
Pravda Lvivska Vesna,/beer/pravda-lvivska-vesna/327416/,3.51,Stout
Pravda 100 Varka (Sota Varka),/beer/pravda-100-varka-sota-varka/354556/,3.50,Abt/Quadrupel
Pravda Lvivska Osin,/beer/pravda-lvivska-osin/382705/,3.50,Doppelbock
Tsypa / Collider Holy Pumpkin,/beer/tsypa-collider-holy-pumpkin/461784/,3.49,Spice/Herb/Vegetable
Pravda IPA Magnum Green Hop,/beer/pravda-ipa-magnum-green-hop/459358/,3.48,India Pale Ale (IPA)
Kumpel Porter ,/beer/kumpel-porter/479333/,3.47,Baltic Porter
Tsypa Vnochi,/beer/tsypa-vnochi/510653/,3.43,Black IPA
Pravda India Pale Lager,/beer/pravda-india-pale-lager/401706/,3.42,India Style Lager
Lvivske Porter,/beer/lvivske-porter/25805/,3.42,Baltic Porter
Pravda Fresh Hop Brown,/beer/pravda-fresh-hop-brown/382698/,3.42,Brown Ale
Pravda 1917-2017 100 Років УНР,/beer/pravda-1917-2017-100-10561086108211101074-105910531056/522479/,3.41,Stout
Pravda Batyar IPA,/beer/pravda-batyar-ipa/539465/,3.39,India Pale Ale (IPA)
Pravda Rye IPA,/beer/pravda-rye-ipa/537572/,3.39,India Pale Ale (IPA)
Tsypa Chorna,/beer/tsypa-chorna/422677/,3.36,Stout
Kumpel Kolektsiyne svitle,/beer/kumpel-kolektsiyne-svitle/461113/,3.36,India Pale Ale (IPA)
White Rabbit Craft Shadow Black IPA(Blackcurrant),/beer/white-rabbit-craft-shadow-black-ipablackcurrant/452944/,3.36,India Pale Ale (IPA)
Pravda Shoto? From Lviv,/beer/pravda-shoto-from-lviv/351391/,3.36,American Pale Ale
Mad Brewlads Bandera de la Gran Colombia,/beer/mad-brewlads-bandera-de-la-gran-colombia/407659/,3.36,Imperial IPA
Varvar Imperial Stout,/beer/varvar-imperial-stout/447234/,3.35,Imperial Stout
Tsypa Bila,/beer/tsypa-bila/422674/,3.35,India Style Lager
Troubadour Te Deum IPA,/beer/troubadour-te-deum-ipa/394407/,3.35,India Pale Ale (IPA)
Tsypa 100,/beer/tsypa-100/510661/,3.34,Imperial IPA
Tsypa Na Molotsi,/beer/tsypa-na-molotsi/470522/,3.34,Sweet Stout
Tsypa Pid Travov,/beer/tsypa-pid-travov/422673/,3.34,Spice/Herb/Vegetable
Tsypa Plombir IPA,/beer/tsypa-plombir-ipa/510665/,3.34,India Pale Ale (IPA)
Pravda Syla,/beer/pravda-syla/314762/,3.33,Abbey Tripel
Pravda Malevich,/beer/pravda-malevich/478284/,3.33,Schwarzbier
Pravda Single Hop Cascade,/beer/pravda-single-hop-cascade/433825/,3.33,American Pale Ale
Tsypa Double Kopchena,/beer/tsypa-double-kopchena/470520/,3.33,Smoked
Varvar Cloudy,/beer/varvar-cloudy/501528/,3.33,India Pale Ale (IPA)
Varvar Equinox DIPA,/beer/varvar-equinox-dipa/531677/,3.33,India Pale Ale (IPA)
Pravda Infused Stout,/beer/pravda-infused-stout/555506/,3.33,Dry Stout
Syndicate / Zip's Brewhouse Alfa Wolf Double IPA,/beer/syndicate-zips-brewhouse-alfa-wolf-double-ipa/402924/,3.32,Imperial IPA
Pravda Fresh,/beer/pravda-fresh/382686/,3.32,Golden Ale/Blond Ale
Varvar Altbier Doppelsticke,/beer/varvar-altbier-doppelsticke/409969/,3.32,Altbier
Pravda Obama Hope,/beer/pravda-obama-hope/324150/,3.32,Stout
Pravda Single Hop Chinook,/beer/pravda-single-hop-chinook/414111/,3.32,American Pale Ale
Pravda Koktel Pyvovara,/beer/pravda-koktel-pyvovara/462288/,3.32,Belgian Ale
Mad Brewlads Hoptuin White IPA,/beer/mad-brewlads-hoptuin-white-ipa/383114/,3.31,India Pale Ale (IPA)
Tsypa Samotnya,/beer/tsypa-samotnya/422675/,3.31,India Pale Ale (IPA)
Pravda 200 Varka,/beer/pravda-200-varka/384130/,3.31,Belgian Strong Ale
Collider De Smedt Asphalt,/beer/collider-de-smedt-asphalt/411223/,3.31,Belgian Ale
Pravda McGuinness,/beer/pravda-mcguinness/419816/,3.31,Stout
Pravda Chervoni Ochi,/beer/pravda-chervoni-ochi/401710/,3.30,Amber Ale
Pravda BBQ,/beer/pravda-bbq/409050/,3.30,Belgian Ale
