beer,link,score,style
Maaza Malt,/beer/maaza-malt/116384/,2.49,Low Alcohol
Barbican Special Edition,/beer/barbican-special-edition/462079/,1.91,Low Alcohol
Barbican Premium Malt,/beer/barbican-premium-malt/76211/,1.49,Low Alcohol
Barbican Apple Malt Beverage  ,/beer/barbican-apple-malt-beverage/339174/,n/a,Fruit Beer
Barbican Lemon Malt Beverage,/beer/barbican-lemon-malt-beverage/307184/,n/a,Fruit Beer
Barbican Mango & Passion Fruit Malt Beverage,/beer/barbican-mango-passion-fruit-malt-beverage/399610/,n/a,Low Alcohol
Barbican Peach Malt Beverage,/beer/barbican-peach-malt-beverage/247462/,n/a,Low Alcohol
Barbican Pineapple Malt Beverage ,/beer/barbican-pineapple-malt-beverage/226285/,n/a,Low Alcohol
Barbican Pomegranate Malt Beverage,/beer/barbican-pomegranate-malt-beverage/226287/,n/a,Low Alcohol
Barbican Raspberry Malt Beverage,/beer/barbican-raspberry-malt-beverage/226286/,n/a,Low Alcohol
Barbican Strawberry Malt Beverage  ,/beer/barbican-strawberry-malt-beverage/176277/,n/a,Low Alcohol
