beer,link,score,style
St. John Brewers Virgin Islands VI Massive Coffee Stout,/beer/st-john-brewers-virgin-islands-vi-massive-coffee-stout/202873/,3.34,Imperial Stout
St. John Brewers Virgin Islands VI Massive Double IPA,/beer/st-john-brewers-virgin-islands-vi-massive-double-ipa/249452/,3.22,Imperial IPA
St. John Brewers Virgin Islands Pale Tourist,/beer/st-john-brewers-virgin-islands-pale-tourist/399656/,3.10,Pale Lager
St. John Brewers Virgin Islands Amber Jack,/beer/st-john-brewers-virgin-islands-amber-jack/126694/,3.06,Amber Ale
St. John Brewers Virgin Islands Island Hoppin IPA,/beer/st-john-brewers-virgin-islands-island-hoppin-ipa/115181/,3.06,India Pale Ale (IPA)
St. John Brewers Virgin Islands St. John Belgian IPA,/beer/st-john-brewers-virgin-islands-st-john-belgian-ipa/458014/,3.02,India Pale Ale (IPA)
St. John Brewers Amber Ale,/beer/st-john-brewers-amber-ale/522462/,3.00,Amber Ale
Fort Christian West Indies Porter,/beer/fort-christian-west-indies-porter/41257/,2.81,Porter
St. John Brewers Virgin Islands Frozen Cistern Winter Ale,/beer/st-john-brewers-virgin-islands-frozen-cistern-winter-ale/126695/,2.81,American Strong Ale 
Fort Christian Hammerhead,/beer/fort-christian-hammerhead/41256/,2.80,American Pale Ale
Fort Christian Coral Reef Red Ale,/beer/fort-christian-coral-reef-red-ale/312389/,2.80,Amber Ale
Fort Christian Jump Up Stout,/beer/fort-christian-jump-up-stout/41259/,2.79,Stout
Virgin Islands Blackbeard Ale,/beer/virgin-islands-blackbeard-ale/7249/,2.71,Amber Ale
St. John Brewers Virgin Islands Island Summer Ale,/beer/st-john-brewers-virgin-islands-island-summer-ale/79618/,2.63,Wheat Ale
St. John Brewers Virgin Islands Liquid Sunshine,/beer/st-john-brewers-virgin-islands-liquid-sunshine/106141/,2.59,Witbier
St. John Brewers Virgin Islands Tropical Mango Pale Ale,/beer/st-john-brewers-virgin-islands-tropical-mango-pale-ale/63824/,2.56,Fruit Beer
Virgin Islands Foxys Lager,/beer/virgin-islands-foxys-lager/9119/,2.18,Pale Lager
Fort Christian Blackbeard Ale,/beer/fort-christian-blackbeard-ale/41254/,n/a,Amber Ale
Fort Christian Foxys Lager,/beer/fort-christian-foxys-lager/41255/,n/a,Pale Lager
Fort Christian Leatherback Brown Ale,/beer/fort-christian-leatherback-brown-ale/41260/,n/a,Brown Ale
Fort Christian Summer Special Ale,/beer/fort-christian-summer-special-ale/41258/,n/a,German Hefeweizen
