beer,link,score,style
Toppling Goliath Kentucky Brunch,/beer/toppling-goliath-kentucky-brunch/166019/,4.53,Imperial Stout
Cigar City Pilot Series Dragonfruit Passion Fruit Berliner Weisse,/beer/cigar-city-pilot-series-dragonfruit-passion-fruit-berliner-weisse/140581/,4.42,Berliner Weisse
Goose Island Bourbon County Stout - Rare 2010,/beer/goose-island-bourbon-county-stout-rare-2010/116684/,4.41,Imperial Stout
Toppling Goliath Mornin' Delight,/beer/toppling-goliath-mornin-delight/151817/,4.40,Imperial Stout
Cigar City Hunahpu's Imperial Stout - Double Barrel Aged,/beer/cigar-city-hunahpus-imperial-stout-double-barrel-aged/249005/,4.40,Imperial Stout
New Glarus R & D Sour Fruit - Wild Blackberry,/beer/new-glarus-r-d-sour-fruit-wild-blackberry/224377/,4.36,Sour/Wild Ale
Three Floyds Dark Lord Russian Imperial Stout - Bourbon Barrel Aged,/beer/three-floyds-dark-lord-russian-imperial-stout-bourbon-barrel-aged/58590/,4.35,Imperial Stout
Russian River Pliny the Younger,/beer/russian-river-pliny-the-younger/43181/,4.35,Imperial IPA
AleSmith Speedway Stout - Bourbon Barrel Aged,/beer/alesmith-speedway-stout-bourbon-barrel-aged/28173/,4.33,Imperial Stout
Three Floyds Dark Lord Russian Imperial Stout - Bourbon Vanilla Bean,/beer/three-floyds-dark-lord-russian-imperial-stout-bourbon-vanilla-bean/86808/,4.33,Imperial Stout
Cigar City Pilot Series Miami Madness,/beer/cigar-city-pilot-series-miami-madness/167898/,4.32,Berliner Weisse
Bell's Black Note Stout,/beer/bells-black-note-stout/71826/,4.31,Imperial Stout
Cigar City Hunahpu's Imperial Stout - Apple Brandy Barrel Aged,/beer/cigar-city-hunahpus-imperial-stout-apple-brandy-barrel-aged/119354/,4.31,Imperial Stout
Founders Backstage Series # 2: CBS (Canadian Breakfast Stout),/beer/founders-backstage-series-2-cbs-canadian-breakfast-stout/98973/,4.31,Imperial Stout
Cigar City Hunahpu's Imperial Stout - Stranahan's Whiskey Barrel Aged ,/beer/cigar-city-hunahpus-imperial-stout-stranahans-whiskey-barrel-aged/154970/,4.30,Imperial Stout
AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee,/beer/alesmith-speedway-stout-bourbon-barrel-aged-vietnamese-coffee/296243/,4.30,Imperial Stout
Goose Island Bourbon County Stout - Proprietor's 2013,/beer/goose-island-bourbon-county-stout-proprietors-2013/235913/,4.30,Imperial Stout
AleSmith Speedway Stout,/beer/alesmith-speedway-stout/14232/,4.29,Imperial Stout
Cigar City Final Push Imperial Stout,/beer/cigar-city-final-push-imperial-stout/119353/,4.29,Imperial Stout
Cycle / 3 Sons Rare Scooop,/beer/cycle-3-sons-rare-scooop/420014/,4.29,Imperial Stout
Hill Farmstead Ann,/beer/hill-farmstead-ann/175070/,4.29,Saison
Hill Farmstead / Blaugies Le Sarrasin,/beer/hill-farmstead-blaugies-le-sarrasin/257839/,4.29,Saison
Cigar City Hunahpu's Imperial Stout,/beer/cigar-city-hunahpus-imperial-stout/97078/,4.29,Imperial Stout
Midnight Sun M,/beer/midnight-sun-m/48211/,4.28,Barley Wine
Founders KBS (Kentucky Breakfast Stout),/beer/founders-kbs-kentucky-breakfast-stout/40544/,4.28,Imperial Stout
Three Floyds Dark Lord Russian Imperial Stout,/beer/three-floyds-dark-lord-russian-imperial-stout/15917/,4.28,Imperial Stout
Bell's Expedition Stout,/beer/bells-expedition-stout/3214/,4.27,Imperial Stout
Toppling Goliath SR-71 Blackbird (2015 Bottling / Draft),/beer/toppling-goliath-sr-71-blackbird-2015-bottling-draft/320501/,4.27,Imperial Stout
Russian River Pliny the Elder,/beer/russian-river-pliny-the-elder/8936/,4.27,Imperial IPA
AleSmith Speedway Stout - Bourbon Barrel Aged: Kopi Luwak,/beer/alesmith-speedway-stout-bourbon-barrel-aged-kopi-luwak/202442/,4.27,Imperial Stout
Cigar City Hunahpu's Imperial Stout - California Brandy Barrel Aged,/beer/cigar-city-hunahpus-imperial-stout-california-brandy-barrel-aged/212913/,4.26,Imperial Stout
Goose Island Bourbon County Stout,/beer/goose-island-bourbon-county-stout/8909/,4.26,Imperial Stout
Lost Abbey Yellow Bus ,/beer/lost-abbey-yellow-bus/80665/,4.26,Sour/Wild Ale
Perennial Abraxas - Barrel Aged,/beer/perennial-abraxas-barrel-aged/191962/,4.26,Imperial Stout
Funky Buddha Morning Wood,/beer/funky-buddha-morning-wood/165389/,4.26,Imperial Porter
Hair of the Dog Dave,/beer/hair-of-the-dog-dave/23897/,4.25,Barley Wine
Dragoon Lazarus,/beer/dragoon-lazarus/310629/,4.25,Barley Wine
Cigar City Hunahpu's Imperial Stout - Bourbon Barrel Aged,/beer/cigar-city-hunahpus-imperial-stout-bourbon-barrel-aged/114747/,4.25,Imperial Stout
Lost Abbey Isabelle Proximus,/beer/lost-abbey-isabelle-proximus/86542/,4.25,Lambic Style - Gueuze
Goose Island Bourbon County Stout - Proprietor's 2014,/beer/goose-island-bourbon-county-stout-proprietors-2014/296214/,4.25,Imperial Stout
Alchemist Heady Topper,/beer/alchemist-heady-topper/32329/,4.24,Imperial IPA
Lost Abbey Veritas 004,/beer/lost-abbey-veritas-004/95438/,4.24,Sour/Wild Ale
Side Project Derivation Blend #2,/beer/side-project-derivation-blend-2/338167/,4.24,Imperial Stout
Goose Island King Henry,/beer/goose-island-king-henry/121397/,4.24,Barley Wine
Cigar City Caff� Americano Double Stout (Rum Barrel-Aged),/beer/cigar-city-caffe-americano-double-stout-rum-barrel-aged/280694/,4.24,Imperial Stout
Goose Island Bourbon County Stout - Coffee,/beer/goose-island-bourbon-county-stout-coffee/66358/,4.23,Imperial Stout
Voodoo ManBearPig,/beer/voodoo-manbearpig/407040/,4.23,Imperial Stout
Three Floyds Dreadnaught Imperial IPA,/beer/three-floyds-dreadnaught-imperial-ipa/8933/,4.23,Imperial IPA
Toppling Goliath Assassin,/beer/toppling-goliath-assassin/163168/,4.23,Imperial Stout
Prairie / Evil Twin Bible Belt - Barrel Aged,/beer/prairie-evil-twin-bible-belt-barrel-aged/480912/,4.22,Imperial Stout
