beer,link,score,style
Davok American IPA,/beer/davok-american-ipa/275191/,3.20,India Pale Ale (IPA)
Barbot Stout,/beer/barbot-stout/273139/,3.16,Stout
Cabesas IPA Atomica,/beer/cabesas-ipa-atomica/357174/,3.09,India Pale Ale (IPA)
Volcanica Belgian Dark Ale,/beer/volcanica-belgian-dark-ale/544748/,3.09,Belgian Strong Ale
MBH Belgian Strong Ale,/beer/mbh-belgian-strong-ale/273132/,3.08,Belgian Strong Ale
Davok Session Coffee IPA,/beer/davok-session-coffee-ipa/275189/,3.05,India Pale Ale (IPA)
Barbot Old Strong Ale,/beer/barbot-old-strong-ale/276141/,3.03,Old Ale
Bizarra India Pale Ale,/beer/bizarra-india-pale-ale/407948/,3.03,India Pale Ale (IPA)
FNC Pilsen Bajo Cero,/beer/fnc-pilsen-bajo-cero/359139/,3.02,Pale Lager
FNC Pilsen Soul,/beer/fnc-pilsen-soul/359140/,3.02,Low Alcohol
Davok Imperial IPA,/beer/davok-imperial-ipa/276378/,3.02,Imperial IPA
Davok American Pale Ale,/beer/davok-american-pale-ale/147951/,3.01,American Pale Ale
Birra Bizarra India Pale Ale,/beer/birra-bizarra-india-pale-ale/565773/,3.00,India Pale Ale (IPA)
Davok Smoked IPA,/beer/davok-smoked-ipa/275190/,3.00,India Pale Ale (IPA)
Barbot Sacramento K�lsch,/beer/barbot-sacramento-kolsch/273142/,3.00,K�lsch
Mastra American Stout,/beer/mastra-american-stout/273135/,2.97,Stout
Barbot  Burton Bitter,/beer/barbot-burton-bitter/273141/,2.96,Bitter
MBH American IPA,/beer/mbh-american-ipa/273133/,2.95,India Pale Ale (IPA)
Barbot Mumbai IPA,/beer/barbot-mumbai-ipa/273138/,2.94,India Pale Ale (IPA)
Patricia H�nig,/beer/patricia-honig/357169/,2.94,Spice/Herb/Vegetable
Stolz  Gold,/beer/stolz-gold/548981/,2.94,Golden Ale/Blond Ale
Cosmopolita Houdini Session IPA,/beer/cosmopolita-houdini-session-ipa/548983/,2.94,Session IPA
Huayna Ginger Ale,/beer/huayna-ginger-ale/548984/,2.94,Spice/Herb/Vegetable
Volcanica Soft Beer,/beer/volcanica-soft-beer/544909/,2.92,Golden Ale/Blond Ale
MBH Dry Stout,/beer/mbh-dry-stout/273127/,2.91,Stout
Davok Oatmeal Stout,/beer/davok-oatmeal-stout/147950/,2.90,Stout
MBH K�lsch,/beer/mbh-kolsch/273134/,2.88,K�lsch
La Maja Sidra Leve Espumante Dulce,/beer/la-maja-sidra-leve-espumante-dulce/68327/,2.88,Cider
Barbot Thames Pale Ale,/beer/barbot-thames-pale-ale/273140/,2.88,English Pale Ale
MBH Scottish,/beer/mbh-scottish/273128/,2.85,Scottish Ale
Barbot Monastere Belgian Blond,/beer/barbot-monastere-belgian-blond/273145/,2.85,Belgian Ale
MBH Imperial IPA,/beer/mbh-imperial-ipa/275187/,2.84,Imperial IPA
Davok Shannon Dunkel,/beer/davok-shannon-dunkel/147953/,2.84,Dunkelweizen
Sidra Salamanca,/beer/sidra-salamanca/68337/,2.84,Cider
Mastra Golden Ale,/beer/mastra-golden-ale/271690/,2.80,Golden Ale/Blond Ale
Barbot Weizen,/beer/barbot-weizen/274145/,2.80,German Hefeweizen
Mastra Belgian Ale,/beer/mastra-belgian-ale/253710/,2.79,Belgian Strong Ale
Mastra Scottish Ale,/beer/mastra-scottish-ale/275196/,2.79,Scottish Ale
Fabricas Nacionales De Cerveza Pilsen,/beer/fabricas-nacionales-de-cerveza-pilsen/516583/,2.79,Pilsener
MBH Imperial Stout,/beer/mbh-imperial-stout/275188/,2.79,Imperial Stout
Chela Brandon Porter,/beer/chela-brandon-porter/274505/,2.79,Porter
O'Neill Porter,/beer/oneill-porter/274496/,2.77,Porter
Barbot De Lobo Porter,/beer/barbot-de-lobo-porter/273143/,2.77,Porter
Barbot Marilyn Golden,/beer/barbot-marilyn-golden/273144/,2.77,Golden Ale/Blond Ale
Donner Amber Orginal,/beer/donner-amber-orginal/68336/,2.77,Cider
FNC Patricia Dunkel,/beer/fnc-patricia-dunkel/87497/,2.77,Dunkel/Tmav�
Davok English Pale Ale,/beer/davok-english-pale-ale/147949/,2.76,English Pale Ale
Mastra Cerveza De Estacion,/beer/mastra-cerveza-de-estacion/253708/,2.76,Sour/Wild Ale
O'Neill Dorada Pampeana,/beer/oneill-dorada-pampeana/274680/,2.76,Golden Ale/Blond Ale
Mastra Witbier,/beer/mastra-witbier/275197/,2.76,Witbier
