beer,link,score,style
Osterbrau Pilsner Special,/beer/osterbrau-pilsner-special/38002/,3.18,Dunkel/Tmav�
Osterbrau Chilla,/beer/osterbrau-chilla/38000/,3.03,Premium Lager
Osterbrau Lux Oster,/beer/osterbrau-lux-oster/38001/,3.00,Premium Lager
Gambrinus (Uzbekistan) Filtrovne,/beer/gambrinus-uzbekistan-filtrovne/37989/,3.00,Premium Lager
Sarbast Extra,/beer/sarbast-extra/98580/,2.97,Premium Lager
Gambrinus (Uzbekistan) Nefiltrovne,/beer/gambrinus-uzbekistan-nefiltrovne/37990/,2.94,Premium Lager
Sarbast Original Beer,/beer/sarbast-original-beer/98579/,2.65,Pale Lager
Azia Pilsner,/beer/azia-pilsner/37875/,2.64,Premium Lager
Raupxon Cheshskoe Zlato Myagkoe,/beer/raupxon-cheshskoe-zlato-myagkoe/475279/,2.64,Pale Lager
Schloss-Brau Svetloe,/beer/schloss-brau-svetloe/38147/,2.63,Pale Lager
Andizhan Rizhskoe,/beer/andizhan-rizhskoe/184732/,2.58,Pale Lager
Heilend Svetloe,/beer/heilend-svetloe/37992/,2.58,Premium Lager
Stolichnoe Silver,/beer/stolichnoe-silver/292989/,2.57,Pale Lager
Osterbrau Pilsner Classic,/beer/osterbrau-pilsner-classic/38146/,2.54,Pilsener
Algofirm Mehnat Gap No. 4,/beer/algofirm-mehnat-gap-no-4/184497/,2.43,Pale Lager
Patriot 1,/beer/patriot-1/37991/,2.39,Pale Lager
Bravo No.2,/beer/bravo-no2/38353/,2.39,Pale Lager
Bravo No.9,/beer/bravo-no9/38354/,2.35,Imperial Pils/Strong Pale Lager
Maxsus,/beer/maxsus/38248/,2.33,Pale Lager
Qibray 11,/beer/qibray-11/326777/,2.33,Pale Lager
Yunusobod,/beer/yunusobod/38249/,2.30,Amber Lager/Vienna
Patriot 4 Light,/beer/patriot-4-light/80924/,2.28,Pale Lager
Mehnat Pivo 2,/beer/mehnat-pivo-2/38004/,2.24,Pale Lager
Qibray Iftithor,/beer/qibray-iftithor/38005/,2.17,Pale Lager
Alt Stadt ,/beer/alt-stadt/37995/,2.09,Pale Lager
Alt Stadt Temnoe,/beer/alt-stadt-temnoe/38233/,2.05,Dunkel/Tmav�
Azia Premium,/beer/azia-premium/37994/,2.05,Pale Lager
Mehnat Super Light,/beer/mehnat-super-light/446994/,2.04,Pale Lager
Bravo Zolotaya Korona,/beer/bravo-zolotaya-korona/38230/,2.01,Pale Lager
Qibray 12,/beer/qibray-12/38148/,1.98,Pale Lager
Bravo No. 4,/beer/bravo-no-4/38231/,1.90,Pale Lager
Toshkent Blue 13%,/beer/toshkent-blue-13/37996/,1.90,Pale Lager
Toshkent Green 10%,/beer/toshkent-green-10/37997/,1.90,Pale Lager
Patriot 4,/beer/patriot-4/38149/,1.90,Pale Lager
Silver Pulsar 10�,/beer/silver-pulsar-10/38232/,1.71,Pale Lager
Gold Pulsar 12�,/beer/gold-pulsar-12/21688/,1.65,Pale Lager
Rugbeer Classic,/beer/rugbeer-classic/464149/,n/a,Dortmunder/Helles
Rugbeer Pilsner,/beer/rugbeer-pilsner/464150/,n/a,Pilsener
Rugbeer Dunkel,/beer/rugbeer-dunkel/464151/,n/a,Dunkel/Tmav�
Rugbeer Stout,/beer/rugbeer-stout/464152/,n/a,Dry Stout
Sarbast Special,/beer/sarbast-special/310066/,n/a,Premium Lager
