beer,link,score,style
Seven Seas Happy Dog Porter,/beer/seven-seas-happy-dog-porter/218810/,3.11,Porter
Seven Seas The Texican,/beer/seven-seas-the-texican/218811/,2.81,Pale Lager
Nambawan Uno Mex,/beer/nambawan-uno-mex/388214/,2.81,Radler/Shandy
Seven Seas Boot's Lager,/beer/seven-seas-boots-lager/218809/,2.70,Pale Lager
Nambawan Cider,/beer/nambawan-cider/214054/,2.67,Cider
Nambawan Porter,/beer/nambawan-porter/174021/,2.59,Porter
Tusker Vanuatu Lemon,/beer/tusker-vanuatu-lemon/282355/,2.52,Fruit Beer
Southern Cross Stout,/beer/southern-cross-stout/23678/,2.47,Foreign Stout
Tuskers Premium Ale,/beer/tuskers-premium-ale/23677/,2.26,Wheat Ale
Nambawan Bitter,/beer/nambawan-bitter/174020/,2.24,Pale Lager
Vanuatu Premium Bitter,/beer/vanuatu-premium-bitter/23676/,2.22,Pale Lager
Tusker Vanuatu Premium Lager OP,/beer/tusker-vanuatu-premium-lager-op/79175/,2.16,Imperial Pils/Strong Pale Lager
Nambawan Gold,/beer/nambawan-gold/173981/,2.15,Golden Ale/Blond Ale
Nambawan Draught,/beer/nambawan-draught/174019/,2.03,Pale Lager
Tusker Vanuatu Premium Beer,/beer/tusker-vanuatu-premium-beer/51088/,1.84,Pale Lager
