beer,link,score,style
Mito Brewhouse Belgian Witbier Momoy,/beer/mito-brewhouse-belgian-witbier-momoy/200005/,2.98,Witbier
Cardenal,/beer/cardenal/129153/,2.96,Premium Lager
La Negra de Polar,/beer/la-negra-de-polar/8570/,2.90,Amber Lager/Vienna
Solera Black,/beer/solera-black/456456/,2.83,Amber Lager/Vienna
Tovar Klar,/beer/tovar-klar/465418/,2.77,Pale Lager
Destilo,/beer/destilo/113122/,2.75,Amber Ale
Cerveza Regional Draft,/beer/cerveza-regional-draft/74511/,2.62,Pale Lager
Cerveza Tovar,/beer/cerveza-tovar/16648/,2.54,Czech Pilsner (Světl�)
Brahma Ice,/beer/brahma-ice/74515/,2.48,Pale Lager
Nacional Andes,/beer/nacional-andes/13586/,2.31,Pale Lager
Solera M�rzen,/beer/solera-marzen/191069/,2.31,Oktoberfest/M�rzen
Cerveza Regional Tipo Pilsen,/beer/cerveza-regional-tipo-pilsen/31854/,2.29,Pale Lager
Polar Malta,/beer/polar-malta/475273/,2.26,Low Alcohol
Caracas Pilsen,/beer/caracas-pilsen/87243/,2.09,Pale Lager
Cerveza Zulia,/beer/cerveza-zulia/119848/,2.09,Pale Lager
Solera,/beer/solera/8567/,2.05,Premium Lager
Cerveza Regional Light,/beer/cerveza-regional-light/45620/,2.02,Pale Lager
Polar Light,/beer/polar-light/8568/,1.89,Pale Lager
Polar,/beer/polar/8566/,1.88,Pale Lager
Polar Ice,/beer/polar-ice/8569/,1.73,Pale Lager
Solera Light,/beer/solera-light/56088/,1.67,Pale Lager
Polar Edici�n Platinum,/beer/polar-edicion-platinum/31853/,1.65,Pale Lager
Norte del Sur 1811 Pale Ale,/beer/norte-del-sur-1811-pale-ale/327860/,n/a,American Pale Ale
Norte del Sur 666 Blonde Ale,/beer/norte-del-sur-666-blonde-ale/327866/,n/a,Golden Ale/Blond Ale
Norte del Sur Hefeweizen,/beer/norte-del-sur-hefeweizen/327874/,n/a,German Hefeweizen
Norte del Sur La Punta Amber Ale,/beer/norte-del-sur-la-punta-amber-ale/327862/,n/a,Amber Ale
Norte del Sur Message in a Bottle IPA,/beer/norte-del-sur-message-in-a-bottle-ipa/327867/,n/a,India Pale Ale (IPA)
Norte del Sur Rumba Saison Farmhouse Ale,/beer/norte-del-sur-rumba-saison-farmhouse-ale/327871/,n/a,Saison
Norte del Sur Terminator Stout,/beer/norte-del-sur-terminator-stout/327868/,n/a,Stout
Pisse Des Gottes CCS Pale Ale,/beer/pisse-des-gottes-ccs-pale-ale/494957/,n/a,American Pale Ale
Pisse Des Gottes Ginger Baker,/beer/pisse-des-gottes-ginger-baker/494966/,n/a,Brown Ale
Pisse Des Gottes Golden Shower,/beer/pisse-des-gottes-golden-shower/494958/,n/a,American Pale Ale
Pisse Des Gottes Hefeweizen,/beer/pisse-des-gottes-hefeweizen/494954/,n/a,German Hefeweizen
Pisse Des Gottes Pez�n,/beer/pisse-des-gottes-pezon/494952/,n/a,Saison
Pisse Des Gottes Trappist Abbey Ale,/beer/pisse-des-gottes-trappist-abbey-ale/494956/,n/a,Abbey Dubbel
Pisse Des Gottes La Roja Del �vila,/beer/pisse-des-gottes-la-roja-del-avila/494959/,n/a,Amber Ale
Pisse Des Gottes Why Can't IBU?,/beer/pisse-des-gottes-why-cant-ibu/494962/,n/a,Fruit Beer
Pisse Des Gottes Weihnachtsbier,/beer/pisse-des-gottes-weihnachtsbier/494963/,n/a,Spice/Herb/Vegetable
Yaracuy Stout,/beer/yaracuy-stout/494968/,n/a,Stout
Yaracuy Rubia,/beer/yaracuy-rubia/494969/,n/a,Golden Ale/Blond Ale
Yaracuy Roja IPA,/beer/yaracuy-roja-ipa/494971/,n/a,India Pale Ale (IPA)
Yaracuy Ambar,/beer/yaracuy-ambar/494972/,n/a,Abbey Dubbel
Tepuy Pale Ale,/beer/tepuy-pale-ale/494974/,n/a,American Pale Ale
Tepuy K�lsch,/beer/tepuy-kolsch/494975/,n/a,K�lsch
Tepuy Stout,/beer/tepuy-stout/494976/,n/a,Stout
Tepuy Dubbel,/beer/tepuy-dubbel/494977/,n/a,Abbey Dubbel
Tepuy Hefeweizen,/beer/tepuy-hefeweizen/494978/,n/a,German Hefeweizen
Tepuy IPA,/beer/tepuy-ipa/494980/,n/a,India Pale Ale (IPA)
Tepuy Porter,/beer/tepuy-porter/494982/,n/a,Porter
Cacri London Calling,/beer/cacri-london-calling/494986/,n/a,Bitter
