beer,link,score,style
Pasteur Street Cyclo Imperial Chocolate Stout,/beer/pasteur-street-cyclo-imperial-chocolate-stout/417019/,3.70,Imperial Stout
Pasteur Street Double Mocha Porter,/beer/pasteur-street-double-mocha-porter/506203/,3.63,Imperial Porter
Pasteur Street Dragon Fruit Gose,/beer/pasteur-street-dragon-fruit-gose/355324/,3.57,Grodziskie/Gose/Lichtenhainer
Pasteur Street Mekong Monster,/beer/pasteur-street-mekong-monster/512909/,3.47,Imperial Porter
Pasteur Street Coffee Porter,/beer/pasteur-street-coffee-porter/479724/,3.45,Porter
Pasteur Street Fruit Cocktail Gose ,/beer/pasteur-street-fruit-cocktail-gose/545742/,3.43,Grodziskie/Gose/Lichtenhainer
Pasteur Street Jasmine IPA,/beer/pasteur-street-jasmine-ipa/325744/,3.39,India Pale Ale (IPA)
Pasteur Street Pomelo IPA,/beer/pasteur-street-pomelo-ipa/505935/,3.38,India Pale Ale (IPA)
Pasteur Street El Vietnamo ,/beer/pasteur-street-el-vietnamo/545745/,3.37,Imperial Stout
Heart of Darkness Primeval Forest Pilsner,/beer/heart-of-darkness-primeval-forest-pilsner/478785/,3.36,Pilsener
Pasteur Street Passionfruit Wheat Ale,/beer/pasteur-street-passionfruit-wheat-ale/325748/,3.33,Wheat Ale
Pasteur Street Ich Bin Ein Pineappler,/beer/pasteur-street-ich-bin-ein-pineappler/506469/,3.33,Berliner Weisse
Pasteur Street Pineapple Bahn Mi-liner,/beer/pasteur-street-pineapple-bahn-mi-liner/512908/,3.32,Berliner Weisse
East West Triple IPA,/beer/east-west-triple-ipa/562627/,3.31,Imperial IPA
Pasteur Street / Jing A Dualistic Oversimplification Szechuan Stout,/beer/pasteur-street-jing-a-dualistic-oversimplification-szechuan-stout/512907/,3.31,Imperial Stout
Platinum East Sea ,/beer/platinum-east-sea/562838/,3.30,American Pale Ale
Pasteur Street Sapodilla Scotch Ale,/beer/pasteur-street-sapodilla-scotch-ale/512906/,3.29,Scotch Ale
Louisiane Dark Lager,/beer/louisiane-dark-lager/72742/,3.28,Dunkel/Tmav�
Heart of Darkness Loose Rivet New England IPA,/beer/heart-of-darkness-loose-rivet-new-england-ipa/562897/,3.28,India Pale Ale (IPA)
Heart of Darkness Kurtz's Insane IPA,/beer/heart-of-darkness-kurtzs-insane-ipa/478810/,3.28,India Pale Ale (IPA)
East West Pale Ale,/beer/east-west-pale-ale/505873/,3.27,American Pale Ale
Pasteur Street Honey Rye IPA,/beer/pasteur-street-honey-rye-ipa/507663/,3.27,Specialty Grain
East West Pumpkin Ale,/beer/east-west-pumpkin-ale/562625/,3.26,Spice/Herb/Vegetable
Heart of Darkness Pitiless Folly,/beer/heart-of-darkness-pitiless-folly/478783/,3.26,English Pale Ale
Heart of Darkness Inhumane IPA,/beer/heart-of-darkness-inhumane-ipa/531531/,3.26,Imperial IPA
Heart of Darkness Director's Porter,/beer/heart-of-darkness-directors-porter/478787/,3.25,Porter
Pasteur Street Spice Island Saison ,/beer/pasteur-street-spice-island-saison/426917/,3.25,Saison
Heart of Darkness By the Hundred Imperial IPA,/beer/heart-of-darkness-by-the-hundred-imperial-ipa/562937/,3.25,Imperial IPA
Heart of Darkness Director's Cacao Nib Porter ,/beer/heart-of-darkness-directors-cacao-nib-porter/545718/,3.24,Porter
Pasteur Street Chua Chua Ngot Ngot The Jolliest of Ranches,/beer/pasteur-street-chua-chua-ngot-ngot-the-jolliest-of-ranches/564674/,3.23,Berliner Weisse
Hoa Vi�n Bia Đen (Dark Lager),/beer/hoa-vien-bia-272en-dark-lager/62330/,3.23,Dunkel/Tmav�
Pasteur Street Double IPA,/beer/pasteur-street-double-ipa/409201/,3.23,Imperial IPA
Louisiane Red Ale,/beer/louisiane-red-ale/72741/,3.22,Amber Ale
Pasteur Street Lichtenheiner Kettle Sour,/beer/pasteur-street-lichtenheiner-kettle-sour/402897/,3.22,Berliner Weisse
Heart of Darkness Excited Magpie Irish Stout ,/beer/heart-of-darkness-excited-magpie-irish-stout/545717/,3.22,Stout
Louisiane Pilsener,/beer/louisiane-pilsener/72743/,3.22,Pilsener
Mekong Blue Elephant,/beer/mekong-blue-elephant/479976/,3.19,India Pale Ale (IPA)
Heart of Darkness Liquid Lobotomy,/beer/heart-of-darkness-liquid-lobotomy/560775/,3.19,Imperial IPA
East West JP Yuzu Weisse,/beer/east-west-jp-yuzu-weisse/505917/,3.19,German Hefeweizen
East West Coffee Vanilla Porter,/beer/east-west-coffee-vanilla-porter/505878/,3.19,Porter
Pasteur Street Intellectual Bastard Triple IPA,/beer/pasteur-street-intellectual-bastard-triple-ipa/562678/,3.18,Imperial IPA
Pasteur Street Vienna Lager,/beer/pasteur-street-vienna-lager/505957/,3.17,Amber Lager/Vienna
Furbrew Bia Chua,/beer/furbrew-bia-chua/507194/,3.16,Sour/Wild Ale
Heart of Darkness Turn My Head IPA,/beer/heart-of-darkness-turn-my-head-ipa/506887/,3.16,Imperial IPA
Pasteur Street Ca Phe Porter,/beer/pasteur-street-ca-phe-porter/402916/,3.16,Porter
Pasteur Street I Drink Your Milkshake IPA ,/beer/pasteur-street-i-drink-your-milkshake-ipa/547431/,3.16,India Pale Ale (IPA)
Heart of Darkness Eloquent Phantom Imperial Stout,/beer/heart-of-darkness-eloquent-phantom-imperial-stout/531534/,3.16,Imperial Stout
Heart of Darkness Charlie's Chocolate Chilli Stout,/beer/heart-of-darkness-charlies-chocolate-chilli-stout/479998/,3.15,Stout
Furbrew Aquatic Predator,/beer/furbrew-aquatic-predator/537526/,3.15,Barley Wine
Heart of Darkness Three Legs Gin Tripel ,/beer/heart-of-darkness-three-legs-gin-tripel/545731/,3.15,Abbey Tripel
