beer,link,score,style
"Lines Line AD - Double IPA Blend (Nelson, Citra, Chinook & Amarillo)",/beer/lines-line-ad-double-ipa-blend-nelson-citra-chinook-amarillo/512188/,3.87,Imperial IPA
Celt Experience Ogham Ash,/beer/celt-experience-ogham-ash/208530/,3.83,Imperial Porter
Lines Line CD - Double Barrel Farm Blend (Burgundy / Pinot Barrels),/beer/lines-line-cd-double-barrel-farm-blend-burgundy-pinot-barrels/507598/,3.81,Sour/Wild Ale
Lines Line FA - Primary Brett Imperial stout,/beer/lines-line-fa-primary-brett-imperial-stout/454661/,3.80,Imperial Stout
Lines Line ACD - Farmhouse IPA,/beer/lines-line-acd-farmhouse-ipa/454663/,3.80,Sour/Wild Ale
Lines Line A - New Zealand New England,/beer/lines-line-a-new-zealand-new-england/501553/,3.78,Session IPA
Tiny Rebel / Arbor Bonsai,/beer/tiny-rebel-arbor-bonsai/340519/,3.72,India Pale Ale (IPA)
Celt Experience / Welsh Whisky 'Trapped Spirit',/beer/celt-experience-welsh-whisky-trapped-spirit/258461/,3.71,Imperial Stout
Lines Line A - Pale Oats on Delta Resin,/beer/lines-line-a-pale-oats-on-delta-resin/481067/,3.70,Session IPA
Tiny Rebel Tiny Batch Baby's Got a Temper,/beer/tiny-rebel-tiny-batch-babys-got-a-temper/190486/,3.70,Imperial IPA
Lines Line A - Dry hopped IPA,/beer/lines-line-a-dry-hopped-ipa/454666/,3.67,India Pale Ale (IPA)
Lines Line CA - Nelson Saison,/beer/lines-line-ca-nelson-saison/454662/,3.65,Saison
Tiny Rebel Sugar Rush,/beer/tiny-rebel-sugar-rush/560176/,3.63,Imperial Stout
Tiny Rebel Clwb Tropicana,/beer/tiny-rebel-clwb-tropicana/398179/,3.63,India Pale Ale (IPA)
Tiny Rebel Loki Lite,/beer/tiny-rebel-loki-lite/282856/,3.62,Session IPA
Tiny Rebel Captain Insano,/beer/tiny-rebel-captain-insano/517082/,3.62,Imperial IPA
Celt Experience / Salopian St Ceceliac,/beer/celt-experience-salopian-st-ceceliac/240870/,3.62,Wheat Ale
Tiny Rebel Hadouken,/beer/tiny-rebel-hadouken/176309/,3.61,India Pale Ale (IPA)
Tiny Rebel / Dark Star Rebel Alliance,/beer/tiny-rebel-dark-star-rebel-alliance/248154/,3.61,Saison
Celt Experience Ogham Willow,/beer/celt-experience-ogham-willow/210128/,3.60,Imperial IPA
Tiny Rebel XLPA,/beer/tiny-rebel-xlpa/256161/,3.60,Golden Ale/Blond Ale
Crafty Devil You Love Us,/beer/crafty-devil-you-love-us/397151/,3.59,India Pale Ale (IPA)
Tiny Rebel Dirty Stop Out,/beer/tiny-rebel-dirty-stop-out/176307/,3.58,Stout
Tiny Rebel Tiny Batch In and Around the Mouth,/beer/tiny-rebel-tiny-batch-in-and-around-the-mouth/327265/,3.57,India Pale Ale (IPA)
Hopcraft Sharks Against Surfers,/beer/hopcraft-sharks-against-surfers/291151/,3.57,American Pale Ale
Celt Experience / Boxing Cat Cat Scratched Celt,/beer/celt-experience-boxing-cat-cat-scratched-celt/221318/,3.56,Amber Ale
Tiny Rebel Cereal Killer,/beer/tiny-rebel-cereal-killer/324799/,3.56,Session IPA
Crafty Devil / BrewDog Cardiff Kenya Kick It?,/beer/crafty-devil-brewdog-cardiff-kenya-kick-it/372020/,3.56,Black IPA
Tiny Rebel / Weird Beard Dirty Perle,/beer/tiny-rebel-weird-beard-dirty-perle/460877/,3.55,Stout
Otley Oxymoron,/beer/otley-oxymoron/146535/,3.55,Black IPA
Tiny Rebel The Vader Shuffle,/beer/tiny-rebel-the-vader-shuffle/212180/,3.54,Porter
Hopcraft A Good Rogering,/beer/hopcraft-a-good-rogering/311589/,3.54,Black IPA
Otley mOtley Brew,/beer/otley-motley-brew/115009/,3.54,Imperial IPA
Tiny Rebel Cali,/beer/tiny-rebel-cali/391940/,3.54,American Pale Ale
Lines / Fyne Ales Green Lines Saison,/beer/lines-fyne-ales-green-lines-saison/443114/,3.54,Saison
Hopcraft Devilfish Ink,/beer/hopcraft-devilfish-ink/366374/,3.54,Black IPA
Hopcraft Citraic,/beer/hopcraft-citraic/253458/,3.53,American Pale Ale
Tiny Rebel Bass Drop,/beer/tiny-rebel-bass-drop/311954/,3.53,Imperial Stout
Hopcraft Graveyard Eyes (5.3%),/beer/hopcraft-graveyard-eyes-53/305293/,3.53,Porter
Tiny Rebel Frambuzi,/beer/tiny-rebel-frambuzi/431715/,3.53,Sour/Wild Ale
Tiny Rebel / Dugges Pina Colada Pale Ale,/beer/tiny-rebel-dugges-pina-colada-pale-ale/376110/,3.53,American Pale Ale
Tiny Rebel Stay Puft,/beer/tiny-rebel-stay-puft/395065/,3.53,Sweet Stout
Tiny Rebel Urban IPA,/beer/tiny-rebel-urban-ipa/172163/,3.52,India Pale Ale (IPA)
Celt Experience / Wiper and True Saison Litha Rye-te,/beer/celt-experience-wiper-and-true-saison-litha-rye-te/291837/,3.52,Saison
Tiny Rebel Cwtch,/beer/tiny-rebel-cwtch/176305/,3.51,Amber Ale
Celt Experience Cerridwen,/beer/celt-experience-cerridwen/339673/,3.51,Session IPA
Tiny Rebel Loki,/beer/tiny-rebel-loki/227906/,3.51,Black IPA
Tiny Rebel The Full Nelson,/beer/tiny-rebel-the-full-nelson/176304/,3.51,American Pale Ale
Celt Experience / Alechemy The Oak King,/beer/celt-experience-alechemy-the-oak-king/311412/,3.50,Wheat Ale
Hopcraft Mate Spawn and Die,/beer/hopcraft-mate-spawn-and-die/326530/,3.50,American Pale Ale
