beer,link,score,style
Golden Pilsner (Zimbabwe),/beer/golden-pilsner-zimbabwe/7519/,2.23,Pale Lager
Eagle Lager,/beer/eagle-lager/54296/,2.20,Specialty Grain
Bohlingers,/beer/bohlingers/7518/,2.14,Pale Lager
Zambezi ,/beer/zambezi/7517/,1.94,Pale Lager
Zambezi Dry,/beer/zambezi-dry/19439/,n/a,Pale Lager
Zambezi Licht,/beer/zambezi-licht/282988/,n/a,Low Alcohol
Zambezi Lite,/beer/zambezi-lite/19438/,n/a,Pale Lager
Sarungano Gudo,/beer/sarungano-gudo/272574/,n/a,Amber Ale
Sarungano KooVha,/beer/sarungano-koovha/272583/,n/a,Pale Lager
Sarungano Tsuro,/beer/sarungano-tsuro/272573/,n/a,Belgian Ale
Bespoke Coxswain Real Ale,/beer/bespoke-coxswain-real-ale/272599/,n/a,Traditional Ale
Bespoke India Pale Ale,/beer/bespoke-india-pale-ale/272600/,n/a,India Pale Ale (IPA)
Bespoke Lighthouse Premium Lager,/beer/bespoke-lighthouse-premium-lager/272601/,n/a,Premium Lager
Bespoke Navigator Premium Bitter,/beer/bespoke-navigator-premium-bitter/272602/,n/a,Bitter
Bespoke Trigger Stout,/beer/bespoke-trigger-stout/272603/,n/a,Stout
Castle Lager (Delta Breweries),/beer/castle-lager-delta-breweries/171878/,n/a,Pale Lager
National Breweries Pilsner,/beer/national-breweries-pilsner/19440/,n/a,Pale Lager
Lion Lager (Zimbabwe),/beer/lion-lager-zimbabwe/153615/,n/a,Pale Lager
