,name,id,most_freq
0,Ivanych Zhivoe Svetloe,301247,"[('sweet', 2), ('malty', 2), ('clear', 2), ('medium', 2), ('bread', 2), ('light', 2), ('white', 1), ('harsh', 1), ('honey', 1), ('gold', 1)]"
1,Stara Praha Oldenburg Tiemnoye,334787,"[('fruity', 2), ('cloudy', 1), ('amber', 1), ('spritzy', 1), ('dark', 1), ('lemon', 1), ('brown', 1), ('light', 1)]"
2,Stara Praha Oldenburg Svetloe,334785,"[('tart', 2), ('hazy', 1), ('lemon', 1), ('grass', 1)]"
3,Stara Praha Oldenburg Jantarnoye,334786,"[('white', 1), ('clear', 1), ('spritzy', 1), ('lemon', 1), ('light', 1)]"
4,Assir Lager (Svetloe),191169,"[('sweet', 1), ('clear', 1)]"
5,Sukhumskoe Svetloe Pivo Klassicheskoe,152260,"[('light', 8), ('sweet', 3), ('white', 3), ('medium', 3), ('caramel', 3), ('hazy', 3), ('buttery', 2), ('grainy', 2), ('malty', 2), ('clear', 2)]"
6,Kaltenbeer Gruri Blek,440920,"[('grapefruit', 2), ('medium', 2), ('caramel', 2), ('light', 2), ('sweet', 1), ('balanced', 1), ('hazy', 1), ('banana', 1), ('smooth', 1)]"
7,Brauhaus Rose,283953,"[('white', 2), ('amber', 2), ('deep', 2), ('sweet', 1), ('burnt', 1), ('clear', 1), ('medium', 1), ('caramel', 1), ('dark', 1), ('red', 1)]"
8,Birra Puka,436987,"[('cloudy', 1), ('creamy', 1)]"
9,Kaltenbeer Terminator Dark Double Malt,440908,"[('medium', 2), ('caramel', 2), ('sweet', 1), ('copper', 1), ('hot', 1), ('malty', 1), ('alcohol', 1), ('hazy', 1), ('full', 1), ('dark', 1)]"
10,Kaltenbeer Pilsner Beer,440900,"[('medium', 2), ('sweet', 1), ('grainy', 1), ('malty', 1), ('hazy', 1), ('oily', 1), ('earthy', 1), ('hay', 1)]"
11,Brauhaus Dark Brau (Brunja),240241,"[('brown', 6), ('dark', 4), ('chocolate', 4), ('light', 4), ('caramel', 2), ('tan', 2), ('toast', 2), ('black', 1), ('burnt', 1), ('white', 1)]"
12,Birra King Pils,439458,"[('medium', 2), ('light', 2), ('hot', 1), ('grainy', 1), ('creamy', 1), ('clear', 1), ('bread', 1), ('honey', 1), ('bitter', 1), ('dry', 1)]"
13,Brauhaus Bockbier (Vera Elbit),240244,"[('caramel', 5), ('alcohol', 4), ('amber', 4), ('clear', 4), ('white', 3), ('medium', 2), ('black', 1), ('fluffy', 1), ('burnt', 1), ('malty', 1)]"
14,Kaltenbeer Krudo (Unfiltered),440921,"[('fruity', 2), ('sweet', 1), ('peach', 1), ('grainy', 1), ('malty', 1), ('medium', 1), ('hazy', 1), ('apple', 1)]"
15,Kaltenbeer Festival Krudo (Unfiltered),440916,"[('caramel', 2), ('copper', 1), ('spicy', 1), ('hazy', 1), ('earthy', 1), ('red', 1), ('bitter', 1), ('apple', 1), ('grass', 1), ('light', 1)]"
16,Kaltenbeer Weizen (e Turbullt),440919,"[('grainy', 1), ('orange', 1), ('medium', 1), ('hazy', 1), ('bitter', 1)]"
17,Brauhaus Helles,277670,"[('copper', 2), ('grainy', 2), ('white', 2), ('hazy', 2), ('honey', 2), ('smooth', 2), ('sweet', 1), ('buttery', 1), ('malty', 1), ('medium', 1)]"
18,BrauHaus Marzen,277674,"[('sweet', 2), ('white', 2), ('malty', 1), ('clear', 1), ('medium', 1), ('mild', 1), ('caramel', 1), ('fresh', 1), ('butterscotch', 1)]"
19,Brauhaus Brau Bier,288008,"[('sweet', 1), ('black', 1), ('white', 1), ('malty', 1), ('amber', 1), ('caramel', 1), ('hazy', 1), ('fresh', 1), ('straw', 1), ('hay', 1)]"
20,Norga Rossa,153091,"[('caramel', 6), ('sweet', 5), ('white', 2), ('malty', 2), ('clear', 2), ('mild', 2), ('brown', 2), ('light', 2), ('copper', 1), ('large', 1)]"
21,Golden Pils (Albania),440009,"[('sweet', 1), ('grainy', 1), ('malty', 1), ('medium', 1), ('honey', 1), ('bitter', 1)]"
22,Brauhaus Weizenbier (E Turbullt),240242,"[('banana', 3), ('light', 3), ('white', 2), ('cloudy', 1), ('clear', 1), ('lemon', 1), ('straw', 1), ('clove', 1)]"
23,Stela Dark Beer,153088,"[('dry', 3), ('fruity', 2), ('burnt', 1), ('malty', 1), ('clear', 1), ('medium', 1), ('caramel', 1), ('phenolic', 1), ('roasted', 1), ('dark', 1)]"
24,Stela Krudo,153086,"[('bitter', 1)]"
25,Brauhaus Brau Ale (Bjondja Aromatike),240240,"[('white', 5), ('hazy', 3), ('grainy', 2), ('malty', 2), ('light', 2), ('cloudy', 1), ('medium', 1), ('bread', 1), ('bitter', 1), ('smooth', 1)]"
26,Birra Malto,49956,"[('sweet', 2), ('dark', 2), ('brown', 2), ('malty', 1), ('caramel', 1), ('coffee', 1), ('tan', 1), ('chocolate', 1)]"
27,Deutch Beer,349608,"[('white', 1), ('lemon', 1)]"
28,Norga Birra Bionda,135900,"[('grainy', 1), ('clear', 1), ('spicy', 1)]"
29,Craft Beer Iliria Weissbier,339898,"[('sweet', 15), ('medium', 8), ('light', 8), ('white', 5), ('banana', 5), ('hazy', 4), ('bitter', 3), ('grainy', 2), ('malty', 2), ('orange', 2)]"
30,Berg Bier Helles,551547,"[('dull', 3), ('grainy', 1), ('white', 1), ('creamy', 1), ('smooth', 1)]"
31,Stela Double Malt Strong Beer,153089,"[('grainy', 7), ('sweet', 6), ('malty', 6), ('alcohol', 6), ('clear', 4), ('honey', 4), ('white', 3), ('medium', 3), ('creamy', 2), ('full', 2)]"
32,Korça Pils e Zezë (Dark),77389,"[('sweet', 4), ('clear', 2), ('medium', 2), ('caramel', 2), ('dark', 2), ('chocolate', 2), ('toffee', 2), ('brown', 2), ('roast', 1), ('smoked', 1)]"
33,Löwenbräu Premium Läger (Albania),134119,"[('white', 6), ('sweet', 5), ('malty', 5), ('light', 4), ('clear', 3), ('spicy', 2), ('bitter', 2), ('hot', 1), ('balanced', 1), ('cloudy', 1)]"
34,Löwen Bräu Pilsner hopfenherb,290875,"[('mild', 1)]"
35,Çek Pilsener,153087,"[('white', 6), ('clear', 4), ('light', 3), ('malty', 2), ('medium', 2), ('mild', 2), ('honey', 2), ('sweet', 1), ('hot', 1), ('creamy', 1)]"
36,Castelberg,240238,"[('white', 2), ('clear', 2), ('harsh', 2), ('gold', 1), ('pepper', 1), ('wet', 1), ('light', 1)]"
37,Ereniku Pilsner Beer,134118,"[('white', 3), ('medium', 3), ('light', 3), ('clear', 2), ('sweet', 1), ('malty', 1), ('orange', 1), ('full', 1), ('crystal', 1), ('dry', 1)]"
38,Birra Elbar,356484,"[('white', 8), ('light', 8), ('sweet', 6), ('clear', 5), ('bitter', 5), ('fruity', 3), ('medium', 2), ('oily', 2), ('malty', 1), ('dull', 1)]"
39,Stefani & Co,189684,"[('white', 4), ('sweet', 3), ('medium', 3), ('caramel', 2), ('alcohol', 1), ('harsh', 1), ('heavy', 1), ('gold', 1), ('grass', 1), ('light', 1)]"
40,Korça Bjonde,73708,"[('white', 3), ('medium', 3), ('sweet', 2), ('malty', 2), ('clear', 2), ('gold', 2), ('light', 2), ('creamy', 1), ('metallic', 1), ('straw', 1)]"
41,Birra Tirana Kuqalashe,138156,"[('sweet', 5), ('white', 3), ('caramel', 3), ('clear', 2), ('medium', 2), ('mild', 2), ('light', 2), ('hot', 1), ('burnt', 1), ('malty', 1)]"
42,Norga The Best Beer,135903,"[('sweet', 5), ('light', 5), ('malty', 4), ('buttery', 3), ('white', 2), ('orange', 2), ('mild', 2), ('hazy', 2), ('alcoholic', 2), ('grainy', 1)]"
43,Norga Premium Läger,68725,"[('white', 5), ('sweet', 2), ('balanced', 2), ('grainy', 2), ('clear', 2), ('pepper', 2), ('light', 2), ('malty', 1), ('amber', 1), ('bread', 1)]"
44,Birra Tirana,5423,"[('light', 6), ('sweet', 5), ('white', 5), ('bitter', 4), ('grainy', 2), ('mild', 2), ('grass', 2), ('malty', 1), ('creamy', 1), ('clear', 1)]"
45,Stela Pils,220722,"[('sweet', 13), ('light', 13), ('clear', 7), ('white', 6), ('medium', 6), ('grainy', 5), ('bitter', 5), ('malty', 3), ('orange', 1), ('bread', 1)]"
46,Stela Pils 4%,287791,"[('light', 12), ('sweet', 6), ('clear', 6), ('white', 5), ('grainy', 4), ('bitter', 4), ('malty', 3), ('medium', 3), ('bread', 3), ('frothy', 1)]"
47,Korça 01 Lager Beer,153090,"[('bitter', 4), ('sweet', 3), ('hot', 3), ('light', 3), ('grainy', 2), ('white', 2), ('nutty', 2), ('hay', 2), ('complex', 1), ('malty', 1)]"
48,Stela,15329,"[('white', 3), ('clear', 3), ('gold', 3), ('sweet', 2), ('medium', 2), ('grainy', 1), ('dull', 1), ('mild', 1), ('metallic', 1), ('lemon', 1)]"
49,Super Star,447229,"[('light', 2), ('white', 1), ('clear', 1)]"
50,Schems Bavaroise,48016,"[('light', 6), ('white', 2), ('malty', 2), ('bitter', 2), ('alcohol', 1), ('medium', 1), ('honey', 1), ('straw', 1)]"
51,Algad Golden Pils,54519,"[('dry', 2), ('grainy', 1), ('medium', 1), ('frothy', 1), ('bitter', 1), ('light', 1)]"
52,Algad Lalla Princesse,54521,"[('bitter', 1)]"
53,Beaufort (Algeria),56956,"[('clear', 1), ('light', 1)]"
54,Tango Samba,57042,"[('sweet', 1), ('white', 1), ('gold', 1), ('tangerine', 1), ('light', 1)]"
55,Albraü Bière Blonde,430171,"[('white', 3), ('bready', 3), ('light', 3), ('medium', 2), ('creamy', 1), ('clear', 1), ('bread', 1), ('mild', 1), ('bitter', 1), ('apple', 1)]"
56,Koelberg,430172,"[('white', 3), ('light', 3), ('buttery', 2), ('creamy', 2), ('medium', 2), ('bitter', 2), ('dry', 2), ('clear', 1), ('tart', 1), ('heavy', 1)]"
57,Hofbräu Bavière Bavaroise Premium Pils,56945,"[('sweet', 5), ('white', 3), ('malty', 2), ('clear', 2), ('medium', 2), ('metallic', 2), ('grainy', 1), ('harsh', 1), ('fruity', 1)]"
58,Algad Extreme Beer,54520,"[('white', 1), ('alcohol', 1), ('clear', 1), ('round', 1), ('medium', 1), ('metallic', 1), ('straw', 1), ('bitter', 1), ('fruity', 1), ('sharp', 1)]"
59,Tango Bière Blonde,56929,"[('white', 4), ('light', 3), ('sweet', 2), ('grainy', 2), ('clear', 2), ('gold', 2), ('malty', 1), ('mild', 1), ('musty', 1), ('metallic', 1)]"
60,S.A.R.L. Tango (Heineken),56950,"[('sweet', 2), ('malty', 2), ('white', 1), ('straw', 1), ('bright', 1)]"
61,Algad Power Beer,57309,"[('light', 8), ('sweet', 4), ('white', 3), ('malty', 3), ('buttery', 1), ('clear', 1), ('straw', 1), ('fruity', 1), ('dry', 1)]"
62,Mini BR,43344,"[('sweet', 8), ('hazy', 4), ('light', 4), ('white', 3), ('grainy', 1), ('malty', 1), ('spicy', 1), ('honey', 1), ('oily', 1), ('gold', 1)]"
63,B.A.O. Kelch,43345,"[('light', 4), ('sweet', 2), ('malty', 2), ('white', 1), ('creamy', 1), ('clear', 1), ('metallic', 1), ('fruity', 1), ('dry', 1)]"
64,La Birreria Trapella,372389,"[('dark', 9), ('chocolate', 7), ('coffee', 5), ('roasted', 5), ('brown', 5), ('black', 4), ('sweet', 3), ('medium', 3), ('caramel', 3), ('tan', 3)]"
65,La Birreria Trapella Rock Star,553034,"[('bitter', 7), ('sweet', 6), ('medium', 6), ('dry', 5), ('malty', 3), ('grass', 3), ('white', 2), ('clear', 2), ('caramel', 2), ('oily', 2)]"
66,La Birreria Trapella IPA,444176,"[('fruity', 10), ('white', 8), ('clear', 4), ('malty', 3), ('medium', 3), ('mild', 3), ('bitter', 3), ('sweet', 2), ('light', 2), ('mango', 2)]"
67,La Birreria Trapella Red Nose,551554,"[('bitter', 9), ('white', 5), ('medium', 5), ('sweet', 4), ('hazy', 4), ('dry', 4), ('caramel', 3), ('heavy', 3), ('malty', 2), ('creamy', 2)]"
68,Alpha La Font Del Bisbe,226075,"[('medium', 6), ('caramel', 4), ('bitter', 4), ('light', 4), ('malty', 3), ('roasted', 3), ('dark', 3), ('fruity', 3), ('sweet', 2), ('cloudy', 2)]"
69,Alpha Black Porter,421176,"[('black', 1), ('medium', 1), ('bitter', 1)]"
70,Alpha Dama de Gel,347619,"[('tart', 3), ('red', 2), ('alcohol', 1), ('dark', 1), ('vanilla', 1), ('vinegar', 1), ('brown', 1), ('dry', 1)]"
71,Alpha Sant Corneli,222280,"[('sweet', 9), ('medium', 6), ('bitter', 6), ('fruity', 6), ('light', 6), ('hazy', 5), ('white', 4), ('malty', 3), ('caramel', 3), ('heavy', 3)]"
72,Alpha Els Amants del Roc,432481,"[('roasted', 5), ('coffee', 3), ('dark', 3), ('brown', 3), ('sweet', 2), ('alcohol', 2), ('mild', 2), ('prunes', 2), ('chocolate', 2), ('cloudy', 1)]"
73,Alpha  Fums,236915,"[('smoked', 1), ('chestnut', 1), ('light', 1)]"
