,Unnamed: 0,name,score,beer style,abv,cal,city,country,link,lat,lon
0,0,Ivanych Zhivoe Svetloe,2.84,Zwickel/Keller/Landbier,4.5,135.0,Sukhum,Abkhazia,/beer/ivanych-zhivoe-svetloe/301247/,43.0033629,41.019274100000004
1,1,Stara Praha Oldenburg Tiemnoye,2.52,Dunkel/Tmavý,4.7,141.0,Stara Gagra,Abkhazia,/beer/stara-praha-oldenburg-tiemnoye/334787/,43.27659310000001,40.2654382921016
2,2,Stara Praha Oldenburg Svetloe,2.51,Pale Lager,4.7,141.0,Stara Gagra,Abkhazia,/beer/stara-praha-oldenburg-svetloe/334785/,43.27659310000001,40.2654382921016
3,3,Stara Praha Oldenburg Jantarnoye,2.49,Amber Lager/Vienna,4.5,135.0,Stara Gagra,Abkhazia,/beer/stara-praha-oldenburg-jantarnoye/334786/,43.27659310000001,40.2654382921016
4,4,Assir Lager (Svetloe),2.37,Pale Lager,5.0,150.0,Alakhadzykh Village Gagra Region,Abkhazia,/beer/assir-lager-svetloe/191169/,,
5,5,Sukhumskoe Svetloe Pivo Klassicheskoe,2.03,Pale Lager,4.0,120.0,Sukhum,Abkhazia,/beer/sukhumskoe-svetloe-pivo-klassicheskoe/152260/,43.0033629,41.019274100000004
9,9,Kaltenbeer Gruri Blek,3.18,Dunkelweizen,5.0,150.0,Durrës,Albania,/beer/kaltenbeer-gruri-blek/440920/,41.3188294,19.445163100000002
10,10,Brauhaus Rose,3.1,Amber Lager/Vienna,6.5,195.0,Tirana,Albania,/beer/brauhaus-rose/283953/,41.32794570000001,19.8185323
11,11,Birra Puka,3.04,Zwickel/Keller/Landbier,5.2,156.0,Pukë,Albania,/beer/birra-puka/436987/,42.0443365,19.899919600000004
12,12,Kaltenbeer Terminator Dark Double Malt,3.04,Dunkler Bock,5.5,165.0,Durrës,Albania,/beer/kaltenbeer-terminator-dark-double-malt/440908/,41.3188294,19.445163100000002
13,13,Kaltenbeer Pilsner Beer,3.04,Pilsener,3.8,114.0,Durrës,Albania,/beer/kaltenbeer-pilsner-beer/440900/,41.3188294,19.445163100000002
14,14,Brauhaus Dark Brau (Brunja),3.03,Brown Ale,5.0,150.0,Tirana,Albania,/beer/brauhaus-dark-brau-brunja/240241/,41.32794570000001,19.8185323
15,15,Birra King Pils,3.02,Pilsener,4.6,138.0,Domje Bërxullë,Albania,/beer/birra-king-pils/439458/,41.367884100000005,19.7262199
16,16,Brauhaus Bockbier (Vera Elbit),3.01,Dunkler Bock,8.0,240.0,Tirana,Albania,/beer/brauhaus-bockbier-vera-elbit/240244/,41.32794570000001,19.8185323
