,name,id,most_freq
0,Ivanych Zhivoe Svetloe,301247,"[('bread', 2), ('malty', 2), ('clear', 2), ('sweet', 2), ('medium', 2), ('light', 2), ('gold', 1), ('honey', 1), ('harsh', 1), ('deep', 1)]"
1,Stara Praha Oldenburg Tiemnoye,334787,"[('fruity', 2), ('dark', 1), ('lemon', 1), ('brown', 1), ('beer', 1), ('light', 1), ('spritzy', 1), ('cloudy', 1), ('amber', 1)]"
2,Stara Praha Oldenburg Svetloe,334785,"[('tart', 2), ('hazy', 1), ('lemon', 1), ('grass', 1)]"
3,Stara Praha Oldenburg Jantarnoye,334786,"[('clear', 1), ('lemon', 1), ('light', 1), ('spritzy', 1), ('white', 1)]"
4,Assir Lager (Svetloe),191169,"[('clear', 1), ('sweet', 1)]"
5,Sukhumskoe Svetloe Pivo Klassicheskoe,152260,"[('light', 8), ('beer', 4), ('hazy', 3), ('sweet', 3), ('medium', 3), ('caramel', 3), ('white', 3), ('malty', 2), ('buttery', 2), ('clear', 2)]"
6,Kaltenbeer Gruri Blek,440920,"[('beer', 2), ('medium', 2), ('light', 2), ('caramel', 2), ('grapefruit', 2), ('hazy', 1), ('banana', 1), ('balanced', 1), ('sweet', 1), ('smooth', 1)]"
7,Brauhaus Rose,283953,"[('beer', 2), ('amber', 2), ('deep', 2), ('white', 2), ('dark', 1), ('toast', 1), ('red', 1), ('clear', 1), ('sweet', 1), ('bright', 1)]"
8,Birra Puka,436987,"[('creamy', 1), ('cloudy', 1)]"
9,Kaltenbeer Terminator Dark Double Malt,440908,"[('medium', 2), ('caramel', 2), ('copper', 1), ('hazy', 1), ('full', 1), ('malty', 1), ('dark', 1), ('alcohol', 1), ('sweet', 1), ('light', 1)]"
10,Kaltenbeer Pilsner Beer,440900,"[('medium', 2), ('oily', 1), ('hazy', 1), ('malty', 1), ('earthy', 1), ('grainy', 1), ('sweet', 1), ('beer', 1), ('hay', 1)]"
11,Brauhaus Dark Brau (Brunja),240241,"[('brown', 6), ('dark', 4), ('chocolate', 4), ('light', 4), ('toast', 2), ('caramel', 2), ('tan', 2), ('black', 1), ('clear', 1), ('beer', 1)]"
12,Birra King Pils,439458,"[('medium', 2), ('light', 2), ('bread', 1), ('clear', 1), ('grainy', 1), ('creamy', 1), ('honey', 1), ('dry', 1), ('hot', 1), ('bitter', 1)]"
13,Brauhaus Bockbier (Vera Elbit),240244,"[('caramel', 5), ('clear', 4), ('alcohol', 4), ('amber', 4), ('white', 3), ('beer', 2), ('medium', 2), ('gold', 1), ('malty', 1), ('dark', 1)]"
14,Kaltenbeer Krudo (Unfiltered),440921,"[('fruity', 2), ('hazy', 1), ('malty', 1), ('grainy', 1), ('peach', 1), ('sweet', 1), ('medium', 1), ('apple', 1)]"
15,Kaltenbeer Festival Krudo (Unfiltered),440916,"[('beer', 2), ('caramel', 2), ('copper', 1), ('spicy', 1), ('hazy', 1), ('red', 1), ('earthy', 1), ('grass', 1), ('light', 1), ('apple', 1)]"
16,Kaltenbeer Weizen (e Turbullt),440919,"[('hazy', 1), ('grainy', 1), ('orange', 1), ('medium', 1), ('bitter', 1)]"
17,Brauhaus Helles,277670,"[('copper', 2), ('hazy', 2), ('grainy', 2), ('honey', 2), ('smooth', 2), ('white', 2), ('oily', 1), ('full', 1), ('malty', 1), ('buttery', 1)]"
18,BrauHaus Marzen,277674,"[('sweet', 2), ('white', 2), ('butterscotch', 1), ('malty', 1), ('clear', 1), ('fresh', 1), ('mild', 1), ('medium', 1), ('caramel', 1)]"
19,Brauhaus Brau Bier,288008,"[('hazy', 1), ('malty', 1), ('black', 1), ('straw', 1), ('sweet', 1), ('fresh', 1), ('hay', 1), ('pepper', 1), ('caramel', 1), ('amber', 1)]"
20,Norga Rossa,153091,"[('caramel', 6), ('sweet', 5), ('malty', 2), ('clear', 2), ('brown', 2), ('mild', 2), ('light', 2), ('white', 2), ('copper', 1), ('large', 1)]"
21,Golden Pils (Albania),440009,"[('malty', 1), ('grainy', 1), ('sweet', 1), ('beer', 1), ('honey', 1), ('medium', 1), ('bitter', 1)]"
22,Brauhaus Weizenbier (E Turbullt),240242,"[('banana', 3), ('light', 3), ('white', 2), ('clear', 1), ('lemon', 1), ('straw', 1), ('clove', 1), ('cloudy', 1)]"
23,Stela Dark Beer,153088,"[('dry', 3), ('fruity', 2), ('malty', 1), ('dark', 1), ('roasted', 1), ('clear', 1), ('phenolic', 1), ('brown', 1), ('burnt', 1), ('medium', 1)]"
24,Stela Krudo,153086,"[('bitter', 1)]"
25,Brauhaus Brau Ale (Bjondja Aromatike),240240,"[('white', 5), ('hazy', 3), ('malty', 2), ('grainy', 2), ('light', 2), ('bread', 1), ('pepper', 1), ('smooth', 1), ('medium', 1), ('cloudy', 1)]"
26,Birra Malto,49956,"[('dark', 2), ('brown', 2), ('sweet', 2), ('coffee', 1), ('malty', 1), ('chocolate', 1), ('beer', 1), ('caramel', 1), ('tan', 1)]"
27,Deutch Beer,349608,"[('lemon', 1), ('white', 1)]"
28,Norga Birra Bionda,135900,"[('spicy', 1), ('clear', 1), ('grainy', 1)]"
29,Craft Beer Iliria Weissbier,339898,"[('sweet', 15), ('medium', 8), ('light', 8), ('banana', 5), ('white', 5), ('hazy', 4), ('bitter', 3), ('oily', 2), ('malty', 2), ('grainy', 2)]"
30,Berg Bier Helles,551547,"[('dull', 3), ('grainy', 1), ('creamy', 1), ('smooth', 1), ('white', 1)]"
31,Stela Double Malt Strong Beer,153089,"[('grainy', 7), ('malty', 6), ('alcohol', 6), ('sweet', 6), ('clear', 4), ('honey', 4), ('medium', 3), ('white', 3), ('full', 2), ('creamy', 2)]"
32,Korça Pils e Zezë (Dark),77389,"[('sweet', 4), ('beer', 3), ('dark', 2), ('chocolate', 2), ('clear', 2), ('toffee', 2), ('brown', 2), ('medium', 2), ('caramel', 2), ('frothy', 1)]"
33,Löwenbräu Premium Läger (Albania),134119,"[('white', 6), ('malty', 5), ('sweet', 5), ('light', 4), ('clear', 3), ('beer', 3), ('spicy', 2), ('bitter', 2), ('hazy', 1), ('heavy', 1)]"
34,Löwen Bräu Pilsner hopfenherb,290875,"[('beer', 1), ('mild', 1)]"
35,Çek Pilsener,153087,"[('white', 6), ('clear', 4), ('beer', 3), ('light', 3), ('malty', 2), ('honey', 2), ('mild', 2), ('medium', 2), ('bread', 1), ('gold', 1)]"
36,Castelberg,240238,"[('clear', 2), ('harsh', 2), ('white', 2), ('gold', 1), ('wet', 1), ('beer', 1), ('pepper', 1), ('light', 1)]"
37,Ereniku Pilsner Beer,134118,"[('medium', 3), ('light', 3), ('white', 3), ('clear', 2), ('full', 1), ('malty', 1), ('orange', 1), ('sweet', 1), ('crystal', 1), ('dry', 1)]"
38,Birra Elbar,356484,"[('light', 8), ('white', 8), ('sweet', 6), ('clear', 5), ('bitter', 5), ('fruity', 3), ('oily', 2), ('medium', 2), ('malty', 1), ('dull', 1)]"
39,Stefani & Co,189684,"[('white', 4), ('sweet', 3), ('medium', 3), ('beer', 2), ('caramel', 2), ('gold', 1), ('heavy', 1), ('alcohol', 1), ('grass', 1), ('light', 1)]"
40,Korça Bjonde,73708,"[('medium', 3), ('white', 3), ('gold', 2), ('malty', 2), ('clear', 2), ('sweet', 2), ('light', 2), ('straw', 1), ('metallic', 1), ('creamy', 1)]"
