beer,link,score,style,abv,cal,loc,country
Ivanych Zhivoe Svetloe,/beer/ivanych-zhivoe-svetloe/301247/,2.84,Zwickel/Keller/Landbier,4.5,135,['Sukhum'],Abkhazia
Stara Praha Oldenburg Tiemnoye,/beer/stara-praha-oldenburg-tiemnoye/334787/,2.52,Dunkel/Tmav�,4.7,141,['Stara Gagra'],Abkhazia
Stara Praha Oldenburg Svetloe,/beer/stara-praha-oldenburg-svetloe/334785/,2.51,Pale Lager,4.7,141,['Stara Gagra'],Abkhazia
Stara Praha Oldenburg Jantarnoye,/beer/stara-praha-oldenburg-jantarnoye/334786/,2.49,Amber Lager/Vienna,4.5,135,['Stara Gagra'],Abkhazia
Assir Lager (Svetloe),/beer/assir-lager-svetloe/191169/,2.37,Pale Lager,5,150,"['Alakhadzykh Village', ' Gagra Region']",Abkhazia
Sukhumskoe Svetloe Pivo Klassicheskoe,/beer/sukhumskoe-svetloe-pivo-klassicheskoe/152260/,2.03,Pale Lager,4,120,['Sukhum'],Abkhazia
Sukhumskoe Svetloe Pivo Originalnoe,/beer/sukhumskoe-svetloe-pivo-originalnoe/503089/,n/a,Pale Lager,3.6,108,['Sukhum'],Abkhazia
Sukhumskoe Temnoe Pivo Barkhatnoe,/beer/sukhumskoe-temnoe-pivo-barkhatnoe/503090/,n/a,Dunkel/Tmav�,4.7,141,['Sukhum'],Abkhazia
Sukhumskoe Zhivoe Nepasterizovannoe Svetloe Pivo,/beer/sukhumskoe-zhivoe-nepasterizovannoe-svetloe-pivo/547070/,n/a,Zwickel/Keller/Landbier,-,0,['Sukhum'],Abkhazia
Kaltenbeer Gruri Blek,/beer/kaltenbeer-gruri-blek/440920/,3.18,Dunkelweizen,5,150,['Durrës'],Albania
Brauhaus Rose,/beer/brauhaus-rose/283953/,3.1,Amber Lager/Vienna,6.5,195,['Tirana'],Albania
Birra Puka,/beer/birra-puka/436987/,3.04,Zwickel/Keller/Landbier,5.2,156,['Pukë'],Albania
Kaltenbeer Terminator Dark Double Malt,/beer/kaltenbeer-terminator-dark-double-malt/440908/,3.04,Dunkler Bock,5.5,165,['Durrës'],Albania
Kaltenbeer Pilsner Beer,/beer/kaltenbeer-pilsner-beer/440900/,3.04,Pilsener,3.8,114,['Durrës'],Albania
Brauhaus Dark Brau (Brunja),/beer/brauhaus-dark-brau-brunja/240241/,3.03,Brown Ale,5,150,['Tirana'],Albania
Birra King Pils,/beer/birra-king-pils/439458/,3.02,Pilsener,4.6,138,"['Domje', ' Bërxullë']",Albania
Brauhaus Bockbier (Vera Elbit),/beer/brauhaus-bockbier-vera-elbit/240244/,3.01,Dunkler Bock,8,240,['Tirana'],Albania
Kaltenbeer Krudo (Unfiltered),/beer/kaltenbeer-krudo-unfiltered/440921/,2.98,Zwickel/Keller/Landbier,3.8,114,['Durrës'],Albania
Kaltenbeer Festival Krudo (Unfiltered),/beer/kaltenbeer-festival-krudo-unfiltered/440916/,2.97,Oktoberfest/M�rzen,4.5,135,['Durrës'],Albania
Kaltenbeer Weizen (e Turbullt),/beer/kaltenbeer-weizen-e-turbullt/440919/,2.94,German Hefeweizen,5,150,['Durrës'],Albania
Brauhaus Helles,/beer/brauhaus-helles/277670/,2.91,Dortmunder/Helles,4.7,141,['Tirana'],Albania
BrauHaus Marzen,/beer/brauhaus-marzen/277674/,2.88,Oktoberfest/M�rzen,5,150,['Tirana'],Albania
Kaltenbeer IPA,/beer/kaltenbeer-ipa/549351/,2.85,English Pale Ale,5,150,['Durrës'],Albania
Brauhaus Brau Bier,/beer/brauhaus-brau-bier/288008/,2.84,Amber Ale,6,180,['Tirana'],Albania
Norga Rossa,/beer/norga-rossa/153091/,2.82,Amber Lager/Vienna,4.5,135,['Vlorë'],Albania
Golden Pils (Albania),/beer/golden-pils-albania/440009/,2.81,Pilsener,4,120,['Tirana'],Albania
Brauhaus Weizenbier (E Turbullt),/beer/brauhaus-weizenbier-e-turbullt/240242/,2.79,German Kristallweizen,6,180,['Tirana'],Albania
Stela Dark Beer,/beer/stela-dark-beer/153088/,2.79,Dunkel/Tmav�,4.5,135,['Tirana'],Albania
Stela Krudo,/beer/stela-krudo/153086/,2.77,Wheat Ale,4.8,144,['Tirana'],Albania
Hotel Martini Donauer,/beer/hotel-martini-donauer/84884/,2.77,Pale Lager,-,2.77/5,['Vlorë'],Albania
Brauhaus Brau Ale (Bjondja Aromatike),/beer/brauhaus-brau-ale-bjondja-aromatike/240240/,2.76,Golden Ale/Blond Ale,4.5,135,['Tirana'],Albania
Birra Tirana e Zez� ,/beer/birra-tirana-e-zeze/49956/,2.73,Dunkel/Tmav�,4.5,135,['Tirana'],Albania
Deutch Beer,/beer/deutch-beer/349608/,2.72,Pilsener,4.5,135,['Elbasan'],Albania
Norga Birra Bionda,/beer/norga-birra-bionda/135900/,2.71,Pale Lager,4.6,138,['Vlorë'],Albania
Svejk Blonde,/beer/svejk-blonde/220897/,2.7,Pale Lager,-,2.7/5,['Tirana'],Albania
Craft Beer Iliria Weissbier ,/beer/craft-beer-iliria-weissbier/339898/,2.7,German Hefeweizen,5,150,['Tirana'],Albania
Birra Rozafa,/beer/birra-rozafa/93783/,2.64,Pale Lager,-,2.64/5,['Shkodër'],Albania
Berg Bier Helles,/beer/berg-bier-helles/551547/,2.62,Dortmunder/Helles,4,120,['Tirana'],Albania
Stela Double Malt Strong Beer,/beer/stela-double-malt-strong-beer/153089/,2.62,Imperial Pils/Strong Pale Lager,6,180,['Tirana'],Albania
Svejk Dark,/beer/svejk-dark/220898/,2.55,Dunkel/Tmav�,-,2.55/5,['Tirana'],Albania
Kor�a Pils e Zez� (Dark),/beer/korca-pils-e-zeze-dark/77389/,2.54,Dunkel/Tmav�,4.5,135,['Korça'],Albania
Vlora,/beer/vlora/290861/,2.52,Pilsener,4.6,138,['Vlorë'],Albania
Stela 0.0,/beer/stela-00/409287/,2.4,Low Alcohol,0.01,2.4/5,['Tirana'],Albania
L�wenbr�u Premium L�ger (Albania),/beer/lowenbrau-premium-lager-albania/134119/,2.4,Pale Lager,4.5,135,['Vlorë'],Albania
L�wen Br�u Pilsner hopfenherb,/beer/lowen-brau-pilsner-hopfenherb/290875/,2.36,Pilsener,4.6,138,['Vlorë'],Albania
�ek Pilsener,/beer/cek-pilsener/153087/,2.35,Czech Pilsner (Světl�),4.5,135,['Tirana'],Albania
Castelberg,/beer/castelberg/240238/,2.29,Pale Lager,4.6,138,['Vlorë'],Albania
Ereniku Pilsner Beer,/beer/ereniku-pilsner-beer/134118/,2.22,Pale Lager,4,120,['Tirana'],Albania
Birra Elbar,/beer/birra-elbar/356484/,2.21,Pale Lager,4.1,123,['Gjirokaster'],Albania
Stela Selekt ,/beer/stela-selekt/189684/,2.19,Pilsener,4.7,141,['Tirana'],Albania
Kor�a Bjonde,/beer/korca-bjonde/73708/,2.14,Pilsener,4.5,135,['Korça'],Albania
Birra Tirana Kuqalashe,/beer/birra-tirana-kuqalashe/138156/,2.13,Pale Lager,4.1,123,['Tirana'],Albania
Norga The Best Beer,/beer/norga-the-best-beer/135903/,2.07,Pale Lager,4.5,135,['Vlorë'],Albania
Norga Premium L�ger,/beer/norga-premium-lager/68725/,2.06,Pale Lager,4.6,138,['Vlorë'],Albania
Birra Tirana ,/beer/birra-tirana/5423/,1.99,Pale Lager,4,120,['Tirana'],Albania
Stela Pils,/beer/stela-pils/220722/,1.93,Pale Lager,5,150,['Tirana'],Albania
Stela Pils 4%,/beer/stela-pils-4/287791/,1.92,Pilsener,4,120,['Tirana'],Albania
Kor�a 01 Lager Beer,/beer/korca-01-lager-beer/153090/,1.88,Pale Lager,4.1,123,['Korça'],Albania
Stela,/beer/stela/15329/,1.84,Pale Lager,4.5,135,['Tirana'],Albania
Super Star,/beer/super-star/447229/,2.72,Pilsener,5,150,['Tizi Ouzou'],Algeria
Schems Bavaroise,/beer/schems-bavaroise/48016/,2.63,Pale Lager,4.5,135,"['Oued Tlelat', ' Oran']",Algeria
Algad Golden Pils,/beer/algad-golden-pils/54519/,2.59,Pilsener,4.5,135,['Tessala El Merdja'],Algeria
Algad Lalla Princesse,/beer/algad-lalla-princesse/54521/,2.59,Pale Lager,4.5,135,['Tessala El Merdja'],Algeria
Beaufort (Algeria),/beer/beaufort-algeria/56956/,2.59,Pale Lager,4.5,135,"['Oued Tlelat', ' Oran']",Algeria
Tango Samba,/beer/tango-samba/57042/,2.43,Pale Lager,4.2,126,['Algiers'],Algeria
Albra� Bi�re Blonde,/beer/albrau-biere-blonde/430171/,2.31,Pale Lager,4.6,138,['Wilaya de Béjaïa'],Algeria
Koelberg,/beer/koelberg/430172/,2.31,Pale Lager,5.2,156,['Wilaya de Béjaïa'],Algeria
Hofbr�u Bavi�re Bavaroise Premium Pils,/beer/hofbrau-baviere-bavaroise-premium-pils/56945/,2.29,Pilsener,5,150,"['Oued Tlelat', ' Oran']",Algeria
Algad Extreme Beer,/beer/algad-extreme-beer/54520/,2.11,Pale Lager,5,150,['Tessala El Merdja'],Algeria
Tango Bi�re Blonde,/beer/tango-biere-blonde/56929/,2.08,Pale Lager,4.8,144,['Algiers'],Algeria
Tango Gold,/beer/tango-gold/56950/,2.03,Pale Lager,5.2,156,['Algiers'],Algeria
Algad Power Beer,/beer/algad-power-beer/57309/,1.92,Pale Lager,5.2,156,['Tessala El Merdja'],Algeria
Mini BR,/beer/mini-br/43344/,1.82,Pale Lager,4.5,135,['Algiers'],Algeria
Tango Sans Alcool,/beer/tango-sans-alcool/56934/,1.8,Low Alcohol,-,1.8/5,['Algiers'],Algeria
B.A.O. Kelch,/beer/bao-kelch/43345/,1.72,Pale Lager,4.5,135,['Oran'],Algeria
Flying Fox Koko Samoa Stout,/beer/flying-fox-koko-samoa-stout/440357/,n/a,Sweet Stout,-,0,['Pavaiai'],American Samoa
La Birreria Trapella,/beer/la-birreria-trapella/372389/,3.25,Porter,6,180,['Andorra La Vella'],Andorra
La Birreria Trapella Rock Star,/beer/la-birreria-trapella-rock-star/553034/,3.21,India Pale Ale (IPA),6,180,['Andorra La Vella'],Andorra
La Birreria Trapella IPA,/beer/la-birreria-trapella-ipa/444176/,3.15,India Pale Ale (IPA),6,180,['Andorra La Vella'],Andorra
La Birreria Trapella Red Nose,/beer/la-birreria-trapella-red-nose/551554/,3.12,India Pale Ale (IPA),7,210,['Andorra La Vella'],Andorra
Alpha La Font Del Bisbe,/beer/alpha-la-font-del-bisbe/226075/,2.94,American Pale Ale,5.6,168,['La Cortinada Ordino'],Andorra
