name,score,beer style,abv,cal,city,country,link
Ivanych Zhivoe Svetloe,2.84,Zwickel/Keller/Landbier,4.5,135.0,Sukhum,Abkhazia,/beer/ivanych-zhivoe-svetloe/301247/
Stara Praha Oldenburg Tiemnoye,2.52,Dunkel/Tmavý,4.7,141.0,Stara Gagra,Abkhazia,/beer/stara-praha-oldenburg-tiemnoye/334787/
Stara Praha Oldenburg Svetloe,2.51,Pale Lager,4.7,141.0,Stara Gagra,Abkhazia,/beer/stara-praha-oldenburg-svetloe/334785/
Stara Praha Oldenburg Jantarnoye,2.49,Amber Lager/Vienna,4.5,135.0,Stara Gagra,Abkhazia,/beer/stara-praha-oldenburg-jantarnoye/334786/
Assir Lager (Svetloe),2.37,Pale Lager,5,150.0,Alakhadzykh Village Gagra Region,Abkhazia,/beer/assir-lager-svetloe/191169/
Sukhumskoe Svetloe Pivo Klassicheskoe,2.03,Pale Lager,4,120.0,Sukhum,Abkhazia,/beer/sukhumskoe-svetloe-pivo-klassicheskoe/152260/
Sukhumskoe Svetloe Pivo Originalnoe,n/a,Pale Lager,3.6,108.0,Sukhum,Abkhazia,/beer/sukhumskoe-svetloe-pivo-originalnoe/503089/
Sukhumskoe Temnoe Pivo Barkhatnoe,n/a,Dunkel/Tmavý,4.7,141.0,Sukhum,Abkhazia,/beer/sukhumskoe-temnoe-pivo-barkhatnoe/503090/
Sukhumskoe Zhivoe Nepasterizovannoe Svetloe Pivo,n/a,Zwickel/Keller/Landbier,-,,Sukhum,Abkhazia,/beer/sukhumskoe-zhivoe-nepasterizovannoe-svetloe-pivo/547070/
Kaltenbeer Gruri Blek,3.18,Dunkelweizen,5,150.0,Durrës,Albania,/beer/kaltenbeer-gruri-blek/440920/
Brauhaus Rose,3.1,Amber Lager/Vienna,6.5,195.0,Tirana,Albania,/beer/brauhaus-rose/283953/
Birra Puka,3.04,Zwickel/Keller/Landbier,5.2,156.0,Pukë,Albania,/beer/birra-puka/436987/
Kaltenbeer Terminator Dark Double Malt,3.04,Dunkler Bock,5.5,165.0,Durrës,Albania,/beer/kaltenbeer-terminator-dark-double-malt/440908/
Kaltenbeer Pilsner Beer,3.04,Pilsener,3.8,114.0,Durrës,Albania,/beer/kaltenbeer-pilsner-beer/440900/
Brauhaus Dark Brau (Brunja),3.03,Brown Ale,5,150.0,Tirana,Albania,/beer/brauhaus-dark-brau-brunja/240241/
Birra King Pils,3.02,Pilsener,4.6,138.0,Domje Bërxullë,Albania,/beer/birra-king-pils/439458/
Brauhaus Bockbier (Vera Elbit),3.01,Dunkler Bock,8,240.0,Tirana,Albania,/beer/brauhaus-bockbier-vera-elbit/240244/
Kaltenbeer Krudo (Unfiltered),2.98,Zwickel/Keller/Landbier,3.8,114.0,Durrës,Albania,/beer/kaltenbeer-krudo-unfiltered/440921/
Kaltenbeer Festival Krudo (Unfiltered),2.97,Oktoberfest/Märzen,4.5,135.0,Durrës,Albania,/beer/kaltenbeer-festival-krudo-unfiltered/440916/
Kaltenbeer Weizen (e Turbullt),2.94,German Hefeweizen,5,150.0,Durrës,Albania,/beer/kaltenbeer-weizen-e-turbullt/440919/
Brauhaus Helles,2.91,Dortmunder/Helles,4.7,141.0,Tirana,Albania,/beer/brauhaus-helles/277670/
BrauHaus Marzen,2.88,Oktoberfest/Märzen,5,150.0,Tirana,Albania,/beer/brauhaus-marzen/277674/
Kaltenbeer IPA,2.85,English Pale Ale,5,150.0,Durrës,Albania,/beer/kaltenbeer-ipa/549351/
Brauhaus Brau Bier,2.84,Amber Ale,6,180.0,Tirana,Albania,/beer/brauhaus-brau-bier/288008/
Norga Rossa,2.82,Amber Lager/Vienna,4.5,135.0,Vlorë,Albania,/beer/norga-rossa/153091/
Golden Pils (Albania),2.81,Pilsener,4,120.0,Tirana,Albania,/beer/golden-pils-albania/440009/
Brauhaus Weizenbier (E Turbullt),2.79,German Kristallweizen,6,180.0,Tirana,Albania,/beer/brauhaus-weizenbier-e-turbullt/240242/
Stela Dark Beer,2.79,Dunkel/Tmavý,4.5,135.0,Tirana,Albania,/beer/stela-dark-beer/153088/
Stela Krudo,2.77,Wheat Ale,4.8,144.0,Tirana,Albania,/beer/stela-krudo/153086/
Hotel Martini,2.77,Pale Lager,-,,Vlorë,Albania,/beer/hotel-martini-donauer/84884/
Brauhaus Brau Ale (Bjondja Aromatike),2.76,Golden Ale/Blond Ale,4.5,135.0,Tirana,Albania,/beer/brauhaus-brau-ale-bjondja-aromatike/240240/
Birra Malto,2.73,Dunkel/Tmavý,4.5,135.0,Tirana,Albania,/beer/birra-tirana-e-zeze/49956/
Deutch Beer,2.72,Pilsener,4.5,135.0,Elbasan,Albania,/beer/deutch-beer/349608/
Norga Birra Bionda,2.71,Pale Lager,4.6,138.0,Vlorë,Albania,/beer/norga-birra-bionda/135900/
Svejk Blonde,2.7,Pale Lager,-,,Tirana,Albania,/beer/svejk-blonde/220897/
Craft Beer Iliria Weissbier,2.7,German Hefeweizen,5,150.0,Tirana,Albania,/beer/craft-beer-iliria-weissbier/339898/
Rozafa Brewery,2.64,Pale Lager,-,,Shkodër,Albania,/beer/birra-rozafa/93783/
Berg Bier Helles,2.62,Dortmunder/Helles,4,120.0,Tirana,Albania,/beer/berg-bier-helles/551547/
Stela Double Malt Strong Beer,2.62,Imperial Pils/Strong Pale Lager,6,180.0,Tirana,Albania,/beer/stela-double-malt-strong-beer/153089/
Svejk Dark,2.55,Dunkel/Tmavý,-,,Tirana,Albania,/beer/svejk-dark/220898/
Korça Pils e Zezë (Dark),2.54,Dunkel/Tmavý,4.5,135.0,Korça,Albania,/beer/korca-pils-e-zeze-dark/77389/
Vlora,2.52,Pilsener,4.6,138.0,Vlorë,Albania,/beer/vlora/290861/
Stela 0.0,2.4,Low Alcohol,0.01,,Tirana,Albania,/beer/stela-00/409287/
Löwenbräu Premium Läger (Albania),2.4,Pale Lager,4.5,135.0,Vlorë,Albania,/beer/lowenbrau-premium-lager-albania/134119/
Löwen Bräu Pilsner hopfenherb,2.36,Pilsener,4.6,138.0,Vlorë,Albania,/beer/lowen-brau-pilsner-hopfenherb/290875/
Çek Pilsener,2.35,Czech Pilsner (Světlý),4.5,135.0,Tirana,Albania,/beer/cek-pilsener/153087/
Castelberg,2.29,Pale Lager,4.6,138.0,Vlorë,Albania,/beer/castelberg/240238/
Ereniku Pilsner Beer,2.22,Pale Lager,4,120.0,Tirana,Albania,/beer/ereniku-pilsner-beer/134118/
Birra Elbar,2.21,Pale Lager,4.1,123.0,Gjirokaster,Albania,/beer/birra-elbar/356484/
Stefani & Co,2.19,Pilsener,4.7,141.0,Tirana,Albania,/beer/stela-selekt/189684/
